promised_line_id,submission_id,submission_date,insured_name,broker_name,broker_contact,coverage_type,effective_date,expiry_date,total_insured_value,limit_requested,deductible,lead_follow,our_line_pct,our_premium,technical_premium,rate_per_million,deviation_from_technical_pct,decision,decision_date,decision_reason,underwriter_name,authority_level,referral_required,decline_reason,ntu_reason,bound_premium,bound_date,renewal_of,fac_reinsurance_purchased,fac_premium,number_of_locations,primary_state,occupancy_class
PL-01010,SUB-2025-1010,2025-07-27,Exeter Healthcare Properties,McGill and Partners,Thomas Keane,Commercial Property,2025-09-28,2026-09-28,150000000,25000000,123445,Lead,100,0,1455000,8.2,-15.0,Declined,2025-08-07,Rate inadequacy - broker target below minimum technical rate,Claire Hemsworth,Senior UW,False,Rate inadequacy - broker target below minimum technical rate,,0,,PL-01049,False,0,1,NC,Agricultural - Processing
PL-01011,SUB-2025-1011,2025-03-01,Uptown Retail Partners,Gallagher,Rachel Foster,Commercial Property,2025-03-31,2026-03-31,120000000,25000000,112772,Follow,25,996000,912000,8.3,9.0,Bound,2025-03-21,,James Whitlock,UW,True,,,996000,2025-03-21,,True,104164,30,TX,Automotive - Dealership
PL-01012,SUB-2025-1012,2024-12-22,Dominion Storage Partners,Howden Group,Michael Cross,Commercial Property,2025-02-25,2026-02-25,30000000,25000000,45157,Lead,15,231000,255000,7.7,-9.0,Bound,2024-12-31,,Simon Button,SVP,False,,,231000,2024-12-31,,False,0,8,WA,Manufacturing - Heavy
PL-01013,SUB-2024-1013,2024-07-25,Warwick Automotive Parts,Lockton Companies,Emily Hartwell,Commercial Property,2024-08-21,2025-08-21,250000000,25000000,426892,Lead,25,0,2250000,7.8,-13.0,Declined,2024-08-04,Outside appetite - territory concentration in Tier 1 wind zones,Claire Hemsworth,Senior UW,True,Outside appetite - territory concentration in Tier 1 wind zones,,0,,PL-01467,False,0,41,NC,Healthcare - Hospital
PL-01014,SUB-2023-1014,2023-09-30,Omega Tech Campus LLC,Lockton Companies,Emily Hartwell,Commercial Property,2023-12-13,2024-12-12,20000000,20000000,25000,Lead,15,0,76000,3.9,2.0,Declined,2023-10-21,Capacity constraints - aggregate exposure limit reached for this territory,Priya Nair,UW,False,Capacity constraints - aggregate exposure limit reached for this territory,,0,,,False,0,5,TN,Real Estate - Mixed Use
PL-01015,SUB-2026-1015,2026-01-05,Granite State Industries,Aon plc,Sarah Chen,Commercial Property,2026-04-02,2027-04-02,100000000,25000000,152042,Lead,15,0,820000,7.5,-8.0,NTU,2026-01-16,Broker placed elsewhere,Claire Hemsworth,Senior UW,False,,Broker placed elsewhere,0,,,False,0,28,AZ,Office - Class B
PL-01016,SUB-2026-1016,2026-08-09,Stonebridge Real Estate,Aon plc,Sarah Chen,Commercial Property,2026-09-11,2027-09-11,10000000,10000000,25000,Follow,15,0,117000,12.1,3.0,Declined,2026-09-01,Poor loss history - 5-year loss ratio exceeds 60%,Robert Tanner,Senior UW,False,Poor loss history - 5-year loss ratio exceeds 60%,,0,,PL-01191,False,0,5,TN,Office - Class B
PL-01017,SUB-2024-1017,2024-04-24,United Pharma Holdings,BMS Group,Andrew Patel,Commercial Property,2024-06-13,2025-06-13,65000000,25000000,55984,Follow,100,214500,234000,3.3,-9.0,Bound,2024-04-28,,James Whitlock,UW,True,,,214500,2024-04-28,PL-01248,False,0,2,NJ,Agricultural - Storage
PL-01018,SUB-2025-1018,2025-08-14,Imperial Tech Solutions,BMS Group,Andrew Patel,Commercial Property,2025-09-30,2026-09-30,75000000,25000000,122467,Lead,25,397500,375000,5.3,6.0,Bound,2025-09-03,,Claire Hemsworth,Senior UW,False,,,397500,2025-09-03,,False,0,11,MN,Real Estate - Residential Portfolio
PL-01019,SUB-2023-1019,2023-06-14,Windmill Manufacturing Co,Miller Insurance,Charlotte Webb,Commercial Property,2023-08-01,2024-07-31,25000000,25000000,39044,Lead,50,0,142499,5.6,-2.0,Declined,2023-06-17,Outside appetite - excluded occupancy class,James Whitlock,UW,False,Outside appetite - excluded occupancy class,,0,,PL-01016,False,0,2,GA,Manufacturing - Heavy
PL-01020,SUB-2026-1020,2026-03-01,Riverside Agricultural Coop,Aon plc,Sarah Chen,Commercial Property,2026-04-21,2027-04-21,65000000,25000000,111230,Lead,100,507000,494000,7.8,2.0,Bound,2026-03-19,,James Whitlock,UW,True,,,507000,2026-03-19,PL-01220,False,0,14,LA,Warehouse - Distribution
PL-01021,SUB-2025-1021,2025-05-06,Uptown Retail Partners,McGill and Partners,Thomas Keane,Commercial Property,2025-07-08,2026-07-08,100000000,25000000,78738,Follow,20,0,1180000,9.8,-17.0,Declined,2025-05-12,Excessive CAT exposure - aggregate PML exceeds tolerance,Priya Nair,UW,True,Excessive CAT exposure - aggregate PML exceeds tolerance,,0,,PL-01093,False,0,42,TX,Pharmaceutical - R&D
PL-01022,SUB-2021-1022,2021-01-30,Junction City Warehousing,Miller Insurance,Charlotte Webb,Commercial Property,2021-03-02,2022-03-02,200000000,25000000,149893,Follow,20,680000,680000,3.4,-0.0,Bound,2021-02-09,,Claire Hemsworth,Senior UW,True,,,680000,2021-02-09,PL-01205,True,79195,36,AZ,Education - University
PL-01023,SUB-2026-1023,2026-05-09,Apex Manufacturing Corp,McGill and Partners,Thomas Keane,Commercial Property,2026-06-17,2027-06-17,120000000,25000000,99186,Lead,15,0,1440000,11.6,-3.0,Declined,2026-05-18,Poor loss history - 5-year loss ratio exceeds 60%,Robert Tanner,Senior UW,False,Poor loss history - 5-year loss ratio exceeds 60%,,0,,,False,0,47,CO,Warehouse - Cold Storage
PL-01024,SUB-2021-1024,2021-10-13,Highland Hospitality Group,Gallagher,Rachel Foster,Commercial Property,2021-11-25,2022-11-25,75000000,25000000,104441,Lead,20,330000,300000,4.4,9.0,Bound,2021-10-18,,Simon Button,SVP,False,,,330000,2021-10-18,PL-01455,False,0,34,MN,Agricultural - Processing
PL-01025,SUB-2023-1025,2023-10-20,Frontier Agricultural Services,Ed Broking,Laura Simpson,Commercial Property,2023-12-05,2024-12-04,50000000,25000000,78714,Lead,25,350000,395000,7.0,-11.0,Bound,2023-11-13,,James Whitlock,UW,False,,,350000,2023-11-13,,False,0,10,CA,Agricultural - Storage
PL-01026,SUB-2021-1026,2021-08-01,Meridian Healthcare Properties,Miller Insurance,Charlotte Webb,Commercial Property,2021-10-28,2022-10-28,65000000,25000000,81823,Lead,25,0,780000,13.2,10.0,Expired,2021-08-10,,Robert Tanner,Senior UW,False,,,0,,,False,0,40,FL,Manufacturing - Light
PL-01027,SUB-2026-1027,2026-11-16,Frontier Agricultural Services,Gallagher,Rachel Foster,Commercial Property,2026-12-07,2027-12-07,120000000,25000000,207078,Lead,100,1092000,996000,9.1,10.0,Bound,2026-12-10,,Robert Tanner,Senior UW,False,,,1092000,2026-12-10,,False,121804,20,IN,Education - University
PL-01028,SUB-2023-1028,2023-09-25,Newport Industrial Corp,BMS Group,Andrew Patel,Commercial Property,2023-12-18,2024-12-17,25000000,25000000,25000,Lead,100,110000,110000,4.4,-1.0,Bound,2023-10-13,,Claire Hemsworth,Senior UW,False,,,110000,2023-10-13,,False,0,6,MO,Warehouse - Cold Storage
PL-01029,SUB-2025-1029,2025-09-27,Junction City Warehousing,Marsh McLennan,James Whitfield,Commercial Property,2025-10-18,2026-10-18,100000000,25000000,61286,Lead,15,370000,400000,3.7,-7.0,Bound,2025-10-03,,Simon Button,SVP,False,,,370000,2025-10-03,PL-01189,False,0,17,IL,Automotive - Manufacturing
PL-01030,SUB-2023-1030,2023-09-17,Silverstone Automotive Group,McGill and Partners,Thomas Keane,Commercial Property,2023-10-20,2024-10-19,250000000,25000000,417543,Lead,15,2375000,2750000,9.5,-14.0,Bound,2023-10-01,,Claire Hemsworth,Senior UW,True,,,2375000,2023-10-01,,True,293725,3,MA,Warehouse - Cold Storage
PL-01031,SUB-2023-1031,2023-08-21,United Pharma Holdings,Willis Towers Watson,David Armstrong,Commercial Property,2023-10-14,2024-10-13,250000000,25000000,420265,Lead,20,2275000,2475000,9.1,-8.0,Bound,2023-08-29,,Priya Nair,UW,True,,,2275000,2023-08-29,,True,278103,22,CT,Office - Class B
PL-01032,SUB-2021-1032,2021-08-18,Inverness Energy Group,Gallagher,Rachel Foster,Commercial Property,2021-10-12,2022-10-12,100000000,25000000,146222,Lead,15,550000,630000,5.5,-12.0,Bound,2021-09-01,,Robert Tanner,Senior UW,False,,,550000,2021-09-01,,False,0,13,FL,Hospitality - Restaurant
PL-01033,SUB-2024-1033,2024-04-24,Delta Warehousing Group,Aon plc,Sarah Chen,Commercial Property,2024-07-08,2025-07-08,10000000,10000000,25000,Lead,20,74000,81999,7.4,-10.0,Bound,2024-05-16,,Robert Tanner,Senior UW,False,,,74000,2024-05-16,,False,0,2,NC,Agricultural - Processing
PL-01034,SUB-2023-1034,2023-01-12,Yorkshire Building Materials,Howden Group,Michael Cross,Commercial Property,2023-03-19,2024-03-18,75000000,25000000,45372,Lead,15,727500,675000,9.7,8.0,Referred,2023-01-28,,Simon Button,SVP,False,,,0,,,False,0,35,FL,Healthcare - Clinic
PL-01035,SUB-2023-1035,2022-12-14,Pioneer Cold Storage Inc,Howden Group,Michael Cross,Commercial Property,2023-02-25,2024-02-25,40000000,25000000,76421,Lead,15,352000,364000,8.8,-3.0,Bound,2023-01-07,,James Whitlock,UW,False,,,352000,2023-01-07,,False,0,7,CO,Real Estate - Residential Portfolio
PL-01036,SUB-2025-1036,2025-09-30,Brunswick Industrial Corp,BMS Group,Andrew Patel,Commercial Property,2025-12-15,2026-12-15,50000000,25000000,41027,Follow,50,375000,415000,7.5,-10.0,Bound,2025-10-24,,Simon Button,SVP,False,,,375000,2025-10-24,,False,0,10,PA,Warehouse - Cold Storage
PL-01037,SUB-2021-1037,2021-03-17,Keystone Office Holdings,BMS Group,Andrew Patel,Commercial Property,2021-04-11,2022-04-11,25000000,25000000,49397,Follow,100,100000,115000,4.0,-14.0,Bound,2021-03-27,,James Whitlock,UW,False,,,100000,2021-03-27,,False,0,5,OR,Manufacturing - Light
PL-01038,SUB-2022-1038,2021-12-29,Yorkshire Building Materials,McGill and Partners,Thomas Keane,Commercial Property,2022-03-13,2023-03-13,100000000,25000000,170616,Follow,20,0,260000,2.7,3.0,Declined,2022-01-08,Rate inadequacy - broker target below minimum technical rate,Priya Nair,UW,True,Rate inadequacy - broker target below minimum technical rate,,0,,PL-01127,False,0,45,IL,Hospitality - Restaurant
PL-01039,SUB-2025-1039,2025-09-25,Pioneer Cold Storage Inc,Miller Insurance,Charlotte Webb,Commercial Property,2025-12-18,2026-12-18,75000000,25000000,87665,Lead,20,0,412500,5.7,3.0,Declined,2025-10-11,Single location concentration risk exceeds net retention,Claire Hemsworth,Senior UW,False,Single location concentration risk exceeds net retention,,0,,,False,0,39,WI,Real Estate - Residential Portfolio
PL-01040,SUB-2024-1040,2023-11-17,Frontier Agricultural Services,Howden Group,Michael Cross,Commercial Property,2024-01-18,2025-01-17,30000000,25000000,25000,Lead,50,0,96000,2.8,-11.0,Declined,2023-11-30,Single location concentration risk exceeds net retention,James Whitlock,UW,False,Single location concentration risk exceeds net retention,,0,,,False,0,8,GA,Real Estate - Mixed Use
PL-01041,SUB-2025-1041,2025-07-10,Timber Creek Manufacturing,Lockton Companies,Emily Hartwell,Commercial Property,2025-09-17,2026-09-17,75000000,25000000,133882,Follow,20,0,480000,5.5,-14.0,Declined,2025-07-31,Outside appetite - territory concentration in Tier 1 wind zones,Simon Button,SVP,False,Outside appetite - territory concentration in Tier 1 wind zones,,0,,,False,0,30,NJ,Healthcare - Clinic
PL-01042,SUB-2026-1042,2026-05-06,Uptown Retail Partners,Howden Group,Michael Cross,Commercial Property,2026-06-23,2027-06-23,120000000,25000000,147415,Lead,25,0,1212000,10.8,7.0,Declined,2026-05-17,Capacity constraints - aggregate exposure limit reached for this territory,Priya Nair,UW,True,Capacity constraints - aggregate exposure limit reached for this territory,,0,,,False,0,35,CT,Energy - Renewable
PL-01043,SUB-2021-1043,2021-09-27,Brunswick Industrial Corp,Willis Towers Watson,David Armstrong,Commercial Property,2021-12-10,2022-12-10,10000000,10000000,25000,Lead,100,81000,81000,8.1,-0.0,Bound,2021-10-04,,Priya Nair,UW,False,,,81000,2021-10-04,PL-01167,False,0,7,IN,Agricultural - Storage
PL-01044,SUB-2021-1044,2020-12-22,Beacon Light Industries,Miller Insurance,Charlotte Webb,Commercial Property,2021-03-21,2022-03-21,30000000,25000000,59995,Lead,50,120000,147000,4.0,-18.0,Bound,2020-12-26,,Robert Tanner,Senior UW,True,,,120000,2020-12-26,,False,0,7,WA,Automotive - Manufacturing
PL-01045,SUB-2023-1045,2023-03-25,Falcon Energy Partners,Marsh McLennan,James Whitfield,Commercial Property,2023-06-12,2024-06-11,20000000,20000000,25000,Lead,50,74000,74000,3.7,0.0,Bound,2023-04-19,,Claire Hemsworth,Senior UW,False,,,74000,2023-04-19,,False,0,4,MO,Retail - Shopping Centre
PL-01046,SUB-2025-1046,2025-01-07,Olympia Agricultural Co,Willis Towers Watson,David Armstrong,Commercial Property,2025-03-18,2026-03-18,250000000,25000000,199373,Follow,50,2150000,2000000,8.6,7.0,Bound,2025-02-01,,Robert Tanner,Senior UW,True,,,2150000,2025-02-01,PL-01395,True,362115,20,FL,Agricultural - Processing
PL-01047,SUB-2021-1047,2020-12-10,Pioneer Cold Storage Inc,Ed Broking,Laura Simpson,Commercial Property,2021-02-21,2022-02-21,100000000,25000000,65830,Lead,20,320000,320000,3.2,-1.0,Bound,2020-12-28,,Simon Button,SVP,False,,,320000,2020-12-28,,False,0,24,CO,Energy - Renewable
PL-01048,SUB-2024-1048,2023-11-05,Fitzwilliam Office Trust,Willis Towers Watson,David Armstrong,Commercial Property,2024-01-05,2025-01-04,150000000,25000000,137758,Follow,50,0,1485000,9.3,-6.0,NTU,2023-11-15,Broker placed elsewhere,James Whitlock,UW,True,,Broker placed elsewhere,0,,,False,0,35,MO,Warehouse - Distribution
PL-01049,SUB-2024-1049,2023-12-27,Excalibur Property Trust,Gallagher,Rachel Foster,Commercial Property,2024-02-20,2025-02-19,65000000,25000000,82871,Lead,100,0,383500,5.2,-12.0,Declined,2024-01-16,Outside appetite - territory concentration in Tier 1 wind zones,Simon Button,SVP,False,Outside appetite - territory concentration in Tier 1 wind zones,,0,,PL-01208,False,0,14,OH,Technology - Data Centre
PL-01050,SUB-2024-1050,2024-03-03,Norfolk Agricultural Holdings,BMS Group,Andrew Patel,Commercial Property,2024-04-20,2025-04-20,120000000,25000000,115117,Follow,25,0,816000,5.5,-19.0,NTU,2024-03-18,Insured did not proceed,Claire Hemsworth,Senior UW,True,,Insured did not proceed,0,,,False,0,32,SC,Food Processing
PL-01051,SUB-2022-1051,2022-03-27,Trafalgar Real Estate,Gallagher,Rachel Foster,Commercial Property,2022-05-10,2023-05-10,40000000,25000000,27173,Follow,50,0,204000,4.5,-12.0,Expired,2022-04-09,,Priya Nair,UW,False,,,0,,PL-01378,False,0,8,NJ,Energy - Renewable
PL-01052,SUB-2025-1052,2024-12-07,Mayfair Hospitality Ltd,Howden Group,Michael Cross,Commercial Property,2025-01-18,2026-01-18,30000000,25000000,25000,Follow,50,0,312000,9.3,-11.0,Expired,2024-12-19,,James Whitlock,UW,False,,,0,,PL-01498,False,0,2,MO,Energy - Storage
PL-01053,SUB-2024-1053,2023-12-21,Granite State Industries,BMS Group,Andrew Patel,Commercial Property,2024-03-10,2025-03-10,200000000,25000000,202211,Lead,25,0,1440000,7.6,6.0,NTU,2024-01-08,Coverage terms not acceptable,Robert Tanner,Senior UW,True,,Coverage terms not acceptable,0,,,False,0,49,SC,Office - Class A
PL-01054,SUB-2024-1054,2024-04-29,Mayfair Hospitality Ltd,Aon plc,Sarah Chen,Commercial Property,2024-05-29,2025-05-29,85000000,25000000,113654,Lead,15,0,765000,7.7,-15.0,Declined,2024-05-09,Outside appetite - excluded occupancy class,Simon Button,SVP,False,Outside appetite - excluded occupancy class,,0,,,False,0,41,CA,Food Processing
PL-01055,SUB-2021-1055,2021-08-03,Coastal Hospitality Group,BMS Group,Andrew Patel,Commercial Property,2021-09-04,2022-09-04,200000000,25000000,179393,Lead,50,0,2380000,10.6,-11.0,Declined,2021-08-12,Excessive CAT exposure - aggregate PML exceeds tolerance,Priya Nair,UW,True,Excessive CAT exposure - aggregate PML exceeds tolerance,,0,,PL-01282,False,0,38,VA,Education - University
PL-01056,SUB-2024-1056,2023-12-17,Jasper Distribution LLC,Willis Towers Watson,David Armstrong,Commercial Property,2024-03-04,2025-03-04,85000000,25000000,160298,Follow,50,0,450500,4.6,-13.0,Declined,2023-12-22,Excessive CAT exposure - aggregate PML exceeds tolerance,Simon Button,SVP,False,Excessive CAT exposure - aggregate PML exceeds tolerance,,0,,,False,0,31,AL,Education - University
PL-01057,SUB-2024-1057,2024-01-12,Exeter Healthcare Properties,Lockton Companies,Emily Hartwell,Commercial Property,2024-03-28,2025-03-28,10000000,10000000,25000,Lead,20,98000,100000,9.8,-2.0,Bound,2024-01-18,,Claire Hemsworth,Senior UW,False,,,98000,2024-01-18,,False,0,3,CA,Office - Class A
PL-01058,SUB-2021-1058,2021-03-16,Portland Warehousing Inc,BMS Group,Andrew Patel,Commercial Property,2021-04-16,2022-04-16,10000000,10000000,25000,Lead,25,0,95000,9.3,-2.0,Declined,2021-03-26,Reinsurance not available at viable economics,Priya Nair,UW,False,Reinsurance not available at viable economics,,0,,,False,0,7,MO,Manufacturing - Light
PL-01059,SUB-2022-1059,2021-10-21,Westfield Shopping Centres,Miller Insurance,Charlotte Webb,Commercial Property,2022-01-09,2023-01-09,20000000,20000000,25000,Lead,50,0,132000,6.9,4.0,NTU,2021-11-04,Coverage terms not acceptable,James Whitlock,UW,False,,Coverage terms not acceptable,0,,,False,0,10,NC,Education - University
PL-01060,SUB-2025-1060,2025-04-20,Oxford Science Properties,Howden Group,Michael Cross,Commercial Property,2025-07-14,2026-07-14,65000000,25000000,96621,Follow,20,0,357500,5.0,-10.0,Expired,2025-04-23,,Priya Nair,UW,True,,,0,,,False,0,6,TX,Energy - Renewable
PL-01061,SUB-2022-1061,2022-04-26,Yorkshire Building Materials,BMS Group,Andrew Patel,Commercial Property,2022-06-21,2023-06-21,100000000,25000000,68213,Follow,50,0,970000,8.3,-14.0,NTU,2022-05-13,Coverage terms not acceptable,Robert Tanner,Senior UW,False,,Coverage terms not acceptable,0,,,False,0,29,MN,Automotive - Manufacturing
PL-01062,SUB-2022-1062,2022-07-02,Northstar Distribution Co,BMS Group,Andrew Patel,Commercial Property,2022-09-23,2023-09-23,25000000,25000000,31582,Lead,20,0,172500,5.8,-16.0,Declined,2022-07-27,Poor loss history - 5-year loss ratio exceeds 60%,Simon Button,SVP,True,Poor loss history - 5-year loss ratio exceeds 60%,,0,,,False,0,2,CA,Healthcare - Clinic
PL-01063,SUB-2021-1063,2021-08-19,Lancaster Manufacturing PLC,Lockton Companies,Emily Hartwell,Commercial Property,2021-10-13,2022-10-13,25000000,25000000,47534,Follow,25,0,182500,7.7,6.0,Declined,2021-09-04,Incomplete submission - insufficient information to rate,Priya Nair,UW,False,Incomplete submission - insufficient information to rate,,0,,,False,0,10,WA,Office - Class A
PL-01064,SUB-2024-1064,2024-06-25,Keystone Office Holdings,Howden Group,Michael Cross,Commercial Property,2024-09-23,2025-09-23,200000000,25000000,236603,Lead,50,0,1340000,6.4,-5.0,Declined,2024-07-15,Capacity constraints - aggregate exposure limit reached for this territory,James Whitlock,UW,True,Capacity constraints - aggregate exposure limit reached for this territory,,0,,,False,0,10,MN,Real Estate - Residential Portfolio
PL-01065,SUB-2025-1065,2025-02-01,Eclipse Energy Holdings,Ed Broking,Laura Simpson,Commercial Property,2025-04-11,2026-04-11,10000000,10000000,25000,Lead,20,97000,96000,9.7,1.0,Bound,2025-02-25,,Priya Nair,UW,False,,,97000,2025-02-25,,False,0,6,CO,Automotive - Manufacturing
PL-01066,SUB-2022-1066,2022-06-03,Quantum Data Systems LLC,BMS Group,Andrew Patel,Commercial Property,2022-08-14,2023-08-14,15000000,15000000,29324,Lead,20,133500,166500,8.9,-20.0,Bound,2022-06-26,,James Whitlock,UW,True,,,133500,2022-06-26,,False,0,9,TN,Manufacturing - Heavy
PL-01067,SUB-2025-1067,2025-02-05,Harbor Point Industries,Gallagher,Rachel Foster,Commercial Property,2025-04-06,2026-04-06,15000000,15000000,27128,Lead,15,0,159000,11.2,6.0,NTU,2025-02-28,Coverage terms not acceptable,James Whitlock,UW,False,,Coverage terms not acceptable,0,,PL-01323,False,0,6,SC,Healthcare - Hospital
PL-01068,SUB-2024-1068,2024-04-18,Keystone Office Holdings,Lockton Companies,Emily Hartwell,Commercial Property,2024-05-11,2025-05-11,100000000,25000000,169421,Lead,25,0,1080000,10.0,-7.0,Declined,2024-04-22,Incomplete submission - insufficient information to rate,Simon Button,SVP,False,Incomplete submission - insufficient information to rate,,0,,,False,0,46,OR,Manufacturing - Heavy
PL-01069,SUB-2025-1069,2025-02-25,Silverstone Automotive Group,Lockton Companies,Emily Hartwell,Commercial Property,2025-04-16,2026-04-16,150000000,25000000,107201,Follow,25,0,615000,3.4,-18.0,Declined,2025-03-15,Reinsurance not available at viable economics,James Whitlock,UW,True,Reinsurance not available at viable economics,,0,,,False,0,12,LA,Agricultural - Processing
PL-01070,SUB-2024-1070,2024-02-26,Bayside Properties LLC,Miller Insurance,Charlotte Webb,Commercial Property,2024-05-10,2025-05-10,15000000,15000000,25000,Lead,50,0,172500,12.6,10.0,NTU,2024-03-22,Premium too high,Robert Tanner,Senior UW,False,,Premium too high,0,,,False,0,8,OH,Energy - Renewable
PL-01071,SUB-2025-1071,2025-04-16,Mayfair Hospitality Ltd,Aon plc,Sarah Chen,Commercial Property,2025-06-10,2026-06-10,85000000,25000000,114655,Lead,15,901000,1011500,10.6,-11.0,Bound,2025-04-19,,Claire Hemsworth,Senior UW,False,,,901000,2025-04-19,,False,0,19,MA,Agricultural - Processing
PL-01072,SUB-2022-1072,2022-06-13,Keystone Office Holdings,Lockton Companies,Emily Hartwell,Commercial Property,2022-07-15,2023-07-15,25000000,25000000,36737,Lead,20,125000,122500,5.0,3.0,Bound,2022-07-06,,James Whitlock,UW,False,,,125000,2022-07-06,PL-01186,False,0,10,SC,Hospitality - Restaurant
PL-01073,SUB-2025-1073,2024-11-12,Quantum Data Systems LLC,Aon plc,Sarah Chen,Commercial Property,2025-02-07,2026-02-07,20000000,20000000,37404,Lead,25,72000,76000,3.6,-4.0,Bound,2024-12-01,,Robert Tanner,Senior UW,False,,,72000,2024-12-01,,False,0,4,CO,Pharmaceutical - R&D
PL-01074,SUB-2025-1074,2025-04-11,Mayfair Hospitality Ltd,Howden Group,Michael Cross,Commercial Property,2025-06-16,2026-06-16,20000000,20000000,33720,Lead,25,218000,214000,10.9,2.0,Bound,2025-04-16,,Robert Tanner,Senior UW,False,,,218000,2025-04-16,,False,0,4,CA,Education - University
PL-01075,SUB-2024-1075,2024-07-19,Inverness Energy Group,Gallagher,Rachel Foster,Commercial Property,2024-09-05,2025-09-05,40000000,25000000,58124,Follow,25,0,356000,8.4,-6.0,Declined,2024-08-11,Outside appetite - excluded occupancy class,Robert Tanner,Senior UW,False,Outside appetite - excluded occupancy class,,0,,,False,0,2,SC,Healthcare - Hospital
PL-01076,SUB-2025-1076,2025-02-22,Olympia Agricultural Co,Willis Towers Watson,David Armstrong,Commercial Property,2025-05-11,2026-05-11,15000000,15000000,25000,Follow,20,67500,70500,4.5,-4.0,Bound,2025-03-08,,Simon Button,SVP,False,,,67500,2025-03-08,,False,0,2,MN,Warehouse - Cold Storage
PL-01077,SUB-2025-1077,2025-11-07,Timber Creek Manufacturing,McGill and Partners,Thomas Keane,Commercial Property,2025-12-27,2026-12-27,30000000,25000000,59141,Lead,15,0,273000,7.9,-13.0,Declined,2025-11-21,Outside appetite - excluded occupancy class,Simon Button,SVP,False,Outside appetite - excluded occupancy class,,0,,,False,0,1,CO,Agricultural - Storage
