source_file,policy_year,num_claims,total_incurred,loss_ratio
RS_heartland_foods_2025,Loss Development Notes,,,
RS_heartland_foods_2025,All claims fully developed. No adverse development.,,,
RS_heritage_hotels_2026,2021,0,0,0
RS_heritage_hotels_2026,2022,1,350000,0.32
RS_heritage_hotels_2026,2023,2,1200000,1.1
RS_heritage_hotels_2026,2024,0,0,0
RS_heritage_hotels_2026,2025,1,180000,0.16
RS_heritage_hotels_2026,Large Loss Detail,,,
RS_heritage_hotels_2026,"$800K wind/water damage from Tropical Storm (2023) at Turks & Caicos property.
$400K flood loss at Ft. Lauderdale location (2023).",,,
RS_heritage_hotels_2026,Loss Development Notes,,,
RS_heritage_hotels_2026,2023 tropical storm claim still developing -- $50K reserve remaining. Flood claim closed.,,,
RS_highstreet_retail_2024,2019,0,0,0
RS_highstreet_retail_2024,2020,2,167090,0.96
RS_highstreet_retail_2024,2021,1,302900,1.74
RS_highstreet_retail_2024,2022,0,0,0
RS_highstreet_retail_2024,2023,0,0,0
RS_highstreet_retail_2024,Large Loss Detail,,,
RS_highstreet_retail_2024,No individual loss exceeds reporting threshold.,,,
RS_highstreet_retail_2024,Loss Development Notes,,,
RS_highstreet_retail_2024,All claims fully developed. No adverse development.,,,
RS_island_resort_2024,2019,0,0,0
RS_island_resort_2024,2020,0,0,0
RS_island_resort_2024,2021,0,0,0
RS_island_resort_2024,2022,0,0,0
RS_island_resort_2024,2023,0,0,0
RS_island_resort_2024,Large Loss Detail,,,
RS_island_resort_2024,No individual loss exceeds reporting threshold.,,,
RS_island_resort_2024,Loss Development Notes,,,
RS_island_resort_2024,All claims fully developed. No adverse development.,,,
RS_legacy_textiles_2025,2020,0,0,0
RS_legacy_textiles_2025,2021,0,0,0
RS_legacy_textiles_2025,2022,0,0,0
RS_legacy_textiles_2025,2023,1,178233,2.71
RS_legacy_textiles_2025,2024,1,294217,4.48
RS_legacy_textiles_2025,Large Loss Detail,,,
RS_legacy_textiles_2025,No individual loss exceeds reporting threshold.,,,
RS_legacy_textiles_2025,Loss Development Notes,,,
RS_legacy_textiles_2025,All claims fully developed. No adverse development.,,,
RS_meridian_mixed_2024,2019,1,181204,0.8
RS_meridian_mixed_2024,2020,1,150704,0.67
RS_meridian_mixed_2024,2021,1,332410,1.47
RS_meridian_mixed_2024,2022,1,356689,1.58
RS_meridian_mixed_2024,2023,0,0,0
RS_meridian_mixed_2024,Large Loss Detail,,,
RS_meridian_mixed_2024,No individual loss exceeds reporting threshold.,,,
RS_meridian_mixed_2024,Loss Development Notes,,,
RS_meridian_mixed_2024,All claims fully developed. No adverse development.,,,
RS_metro_parking_2025,2020,0,0,0
RS_metro_parking_2025,2021,0,0,0
RS_metro_parking_2025,2022,3,953403,1.21
RS_metro_parking_2025,2023,0,0,0
RS_metro_parking_2025,2024,1,124766,0.16
RS_metro_parking_2025,Large Loss Detail,,,
RS_metro_parking_2025,No individual loss exceeds reporting threshold.,,,
RS_metro_parking_2025,Loss Development Notes,,,
RS_metro_parking_2025,All claims fully developed. No adverse development.,,,
RS_midwest_ag_2026,2021,1,78000,0.38
RS_midwest_ag_2026,2022,0,0,0
RS_midwest_ag_2026,2023,1,45000,0.22
RS_midwest_ag_2026,2024,1,32000,0.15
RS_midwest_ag_2026,2025,0,0,0
RS_midwest_ag_2026,Large Loss Detail,,,
RS_midwest_ag_2026,No individual loss exceeds $100K.,,,
RS_midwest_ag_2026,Loss Development Notes,,,
RS_midwest_ag_2026,All claims closed. Predominantly weather-related attritional losses.,,,
RS_national_print_2024,2019,0,0,0
RS_national_print_2024,2020,0,0,0
RS_national_print_2024,2021,0,0,0
RS_national_print_2024,2022,0,0,0
RS_national_print_2024,2023,1,162962,0.83
RS_national_print_2024,Large Loss Detail,,,
RS_national_print_2024,No individual loss exceeds reporting threshold.,,,
RS_national_print_2024,Loss Development Notes,,,
RS_national_print_2024,All claims fully developed. No adverse development.,,,
RS_nexus_data_2025,2020,1,157000,0.27
RS_nexus_data_2025,2021,2,466492,0.82
RS_nexus_data_2025,2022,1,367728,0.64
RS_nexus_data_2025,2023,0,0,0
RS_nexus_data_2025,2024,2,592421,1.04
RS_nexus_data_2025,Large Loss Detail,,,
RS_nexus_data_2025,No individual loss exceeds reporting threshold.,,,
RS_nexus_data_2025,Loss Development Notes,,,
RS_nexus_data_2025,All claims fully developed. No adverse development.,,,
RS_northern_mfg_2026,2023,0,0,0
RS_northern_mfg_2026,2024,0,0,0
RS_northern_mfg_2026,2025,0,0,0
RS_northern_mfg_2026,Large Loss Detail,,,
RS_northern_mfg_2026,None.,,,
RS_northern_mfg_2026,Loss Development Notes,,,
RS_northern_mfg_2026,No losses reported in 3 years on our book.,,,
RS_novus_pharma_2025,2020,0,0,0
RS_novus_pharma_2025,2021,1,270034,0.39
RS_novus_pharma_2025,2022,0,0,0
RS_novus_pharma_2025,2023,0,0,0
RS_novus_pharma_2025,2024,3,569456,0.83
RS_novus_pharma_2025,Large Loss Detail,,,
RS_novus_pharma_2025,No individual loss exceeds reporting threshold.,,,
RS_novus_pharma_2025,Loss Development Notes,,,
RS_novus_pharma_2025,All claims fully developed. No adverse development.,,,
RS_oak_ridge_2025,2020,0,0,0
RS_oak_ridge_2025,2021,3,412507,2.37
RS_oak_ridge_2025,2022,2,633326,3.65
RS_oak_ridge_2025,2023,0,0,0
RS_oak_ridge_2025,2024,1,345752,1.99
RS_oak_ridge_2025,Large Loss Detail,,,
RS_oak_ridge_2025,No individual loss exceeds reporting threshold.,,,
RS_oak_ridge_2025,Loss Development Notes,,,
RS_oak_ridge_2025,All claims fully developed. No adverse development.,,,
RS_pacific_ports_2025,2020,1,317367,0.63
RS_pacific_ports_2025,2021,0,0,0
RS_pacific_ports_2025,2022,0,0,0
RS_pacific_ports_2025,2023,0,0,0
RS_pacific_ports_2025,2024,0,0,0
RS_pacific_ports_2025,Large Loss Detail,,,
RS_pacific_ports_2025,No individual loss exceeds reporting threshold.,,,
RS_pacific_ports_2025,Loss Development Notes,,,
RS_pacific_ports_2025,All claims fully developed. No adverse development.,,,
RS_pacific_retail_2026,2021,0,0,0
RS_pacific_retail_2026,2022,0,0,0
RS_pacific_retail_2026,2023,1,125000,0.26
RS_pacific_retail_2026,2024,0,0,0
RS_pacific_retail_2026,2025,0,0,0
RS_pacific_retail_2026,Large Loss Detail,,,
RS_pacific_retail_2026,Single $125K kitchen fire in 2023 -- contained by sprinkler system; no spread.,,,
RS_pacific_retail_2026,Loss Development Notes,,,
RS_pacific_retail_2026,All claims fully developed. No adverse development expected.,,,
RS_parkview_hotels_2025,2020,0,0,0
RS_parkview_hotels_2025,2021,0,0,0
RS_parkview_hotels_2025,2022,3,542207,2.34
RS_parkview_hotels_2025,2023,1,29434,0.13
RS_parkview_hotels_2025,2024,0,0,0
RS_parkview_hotels_2025,Large Loss Detail,,,
RS_parkview_hotels_2025,No individual loss exceeds reporting threshold.,,,
RS_parkview_hotels_2025,Loss Development Notes,,,
RS_parkview_hotels_2025,All claims fully developed. No adverse development.,,,
RS_phoenix_recycling_2025,2020,0,0,0
RS_phoenix_recycling_2025,2021,0,0,0
RS_phoenix_recycling_2025,2022,1,383980,2.93
RS_phoenix_recycling_2025,2023,1,225481,1.72
RS_phoenix_recycling_2025,2024,1,241164,1.84
RS_phoenix_recycling_2025,Large Loss Detail,,,
RS_phoenix_recycling_2025,No individual loss exceeds reporting threshold.,,,
RS_phoenix_recycling_2025,Loss Development Notes,,,
RS_phoenix_recycling_2025,All claims fully developed. No adverse development.,,,
RS_pioneer_manufacturing_2025,2020,0,0,0
RS_pioneer_manufacturing_2025,2021,2,629895,3.94
RS_pioneer_manufacturing_2025,2022,0,0,0
RS_pioneer_manufacturing_2025,2023,1,217749,1.36
RS_pioneer_manufacturing_2025,2024,0,0,0
RS_pioneer_manufacturing_2025,Large Loss Detail,,,
RS_pioneer_manufacturing_2025,No individual loss exceeds reporting threshold.,,,
RS_pioneer_manufacturing_2025,Loss Development Notes,,,
RS_pioneer_manufacturing_2025,All claims fully developed. No adverse development.,,,
RS_precision_electronics_2024,2019,1,198262,0.74
RS_precision_electronics_2024,2020,0,0,0
RS_precision_electronics_2024,2021,0,0,0
RS_precision_electronics_2024,2022,1,385774,1.44
RS_precision_electronics_2024,2023,1,325084,1.21
RS_precision_electronics_2024,Large Loss Detail,,,
RS_precision_electronics_2024,No individual loss exceeds reporting threshold.,,,
RS_precision_electronics_2024,Loss Development Notes,,,
RS_precision_electronics_2024,All claims fully developed. No adverse development.,,,
RS_rapidfire_logistics_2025,2020,2,291354,1.05
RS_rapidfire_logistics_2025,2021,0,0,0
RS_rapidfire_logistics_2025,2022,0,0,0
RS_rapidfire_logistics_2025,2023,0,0,0
RS_rapidfire_logistics_2025,2024,0,0,0
RS_rapidfire_logistics_2025,Large Loss Detail,,,
RS_rapidfire_logistics_2025,No individual loss exceeds reporting threshold.,,,
RS_rapidfire_logistics_2025,Loss Development Notes,,,
RS_rapidfire_logistics_2025,All claims fully developed. No adverse development.,,,
RS_securestore_2025,2020,3,551788,4.14
RS_securestore_2025,2021,0,0,0
RS_securestore_2025,2022,2,626100,4.7
RS_securestore_2025,2023,1,67347,0.51
RS_securestore_2025,2024,0,0,0
RS_securestore_2025,Large Loss Detail,,,
RS_securestore_2025,No individual loss exceeds reporting threshold.,,,
RS_securestore_2025,Loss Development Notes,,,
RS_securestore_2025,All claims fully developed. No adverse development.,,,
RS_sterling_auto_2025,2020,0,0,0
RS_sterling_auto_2025,2021,1,318605,1.07
RS_sterling_auto_2025,2022,0,0,0
RS_sterling_auto_2025,2023,3,566209,1.9
RS_sterling_auto_2025,2024,0,0,0
RS_sterling_auto_2025,Large Loss Detail,,,
RS_sterling_auto_2025,No individual loss exceeds reporting threshold.,,,
RS_sterling_auto_2025,Loss Development Notes,,,
RS_sterling_auto_2025,All claims fully developed. No adverse development.,,,
RS_summit_office_2026,2021,0,0,0
RS_summit_office_2026,2022,0,0,0
RS_summit_office_2026,2023,1,38000,0.2
RS_summit_office_2026,2024,0,0,0
RS_summit_office_2026,2025,0,0,0
RS_summit_office_2026,Large Loss Detail,,,
RS_summit_office_2026,Single $38K pipe burst (2023) -- closed.,,,
RS_summit_office_2026,Loss Development Notes,,,
RS_summit_office_2026,All claims closed. Minimal loss activity.,,,
RS_summit_retail_2024,2019,3,183466,0.97
RS_summit_retail_2024,2020,1,39344,0.21
RS_summit_retail_2024,2021,1,289714,1.53
RS_summit_retail_2024,2022,0,0,0
RS_summit_retail_2024,2023,1,241798,1.28
RS_summit_retail_2024,Large Loss Detail,,,
RS_summit_retail_2024,No individual loss exceeds reporting threshold.,,,
RS_summit_retail_2024,Loss Development Notes,,,
RS_summit_retail_2024,All claims fully developed. No adverse development.,,,
RS_sunshine_cannabis_2025,2020,2,504215,4.26
RS_sunshine_cannabis_2025,2021,1,106717,0.9
RS_sunshine_cannabis_2025,2022,1,149806,1.27
RS_sunshine_cannabis_2025,2023,3,853411,7.22
RS_sunshine_cannabis_2025,2024,1,344616,2.91
RS_sunshine_cannabis_2025,Large Loss Detail,,,
RS_sunshine_cannabis_2025,No individual loss exceeds reporting threshold.,,,
RS_sunshine_cannabis_2025,Loss Development Notes,,,
RS_sunshine_cannabis_2025,All claims fully developed. No adverse development.,,,
RS_thames_valley_tech_2024,2019,0,0,0
RS_thames_valley_tech_2024,2020,2,560335,2.26
RS_thames_valley_tech_2024,2021,2,691932,2.8
RS_thames_valley_tech_2024,2022,1,10769,0.04
RS_thames_valley_tech_2024,2023,0,0,0
RS_thames_valley_tech_2024,Large Loss Detail,,,
RS_thames_valley_tech_2024,No individual loss exceeds reporting threshold.,,,
RS_thames_valley_tech_2024,Loss Development Notes,,,
RS_thames_valley_tech_2024,All claims fully developed. No adverse development.,,,
RS_tristate_industrial_2025,2020,0,0,0
RS_tristate_industrial_2025,2021,0,0,0
RS_tristate_industrial_2025,2022,0,0,0
RS_tristate_industrial_2025,2023,3,1081372,1.38
RS_tristate_industrial_2025,2024,0,0,0
RS_tristate_industrial_2025,Large Loss Detail,,,
RS_tristate_industrial_2025,No individual loss exceeds reporting threshold.,,,
RS_tristate_industrial_2025,Loss Development Notes,,,
RS_tristate_industrial_2025,All claims fully developed. No adverse development.,,,
RS_westbrook_academy_2024,2019,0,0,0
RS_westbrook_academy_2024,2020,0,0,0
RS_westbrook_academy_2024,2021,2,295201,1.25
RS_westbrook_academy_2024,2022,1,202523,0.86
RS_westbrook_academy_2024,2023,0,0,0
RS_westbrook_academy_2024,Large Loss Detail,,,
RS_westbrook_academy_2024,No individual loss exceeds reporting threshold.,,,
RS_westbrook_academy_2024,Loss Development Notes,,,
RS_westbrook_academy_2024,All claims fully developed. No adverse development.,,,
RS_western_dist_2026,2021,0,0,0
RS_western_dist_2026,2022,0,0,0
RS_western_dist_2026,2023,0,0,0
RS_western_dist_2026,2024,2,222000,0.57
RS_western_dist_2026,2025,2,130000,0.33
RS_western_dist_2026,Large Loss Detail,,,
RS_western_dist_2026,"$180K forklift battery fire (2024) -- warehouse section.
$95K roof collapse from snow load (2025).
$42K break-in (2025).
$35K HVAC water leak (2024).",,,
RS_western_dist_2026,Loss Development Notes,,,
RS_western_dist_2026,Forklift fire claim closed. Snow collapse has $10K reserve remaining. All others closed.,,,
RS_westminster_mixed_2025,2020,0,0,0
RS_westminster_mixed_2025,2021,1,285530,0.19
RS_westminster_mixed_2025,2022,0,0,0
RS_westminster_mixed_2025,2023,0,0,0
RS_westminster_mixed_2025,2024,0,0,0
RS_westminster_mixed_2025,Large Loss Detail,,,
RS_westminster_mixed_2025,No individual loss exceeds reporting threshold.,,,
RS_westminster_mixed_2025,Loss Development Notes,,,
RS_westminster_mixed_2025,All claims fully developed. No adverse development.,,,
