"Location Number","Location Name","Street Address","City","State/Country","ZIP/Postal Code","Building Description","Occupancy Type","Construction Type","Year Built","Number of Stories","Square Footage","Sprinkler System (Y/N)","Sprinkler Type","Fire Alarm (Central/Local/None)","Security System (Y/N)","Roof Type","Roof Age","Building Value","Contents Value","Business Interruption Value","Total Insured Value","Flood Zone (A/B/C/X)","Wind Tier (1/2/3/4)","Earthquake Zone (1-5)","Distance to Coast (miles)","Distance to Fire Station (miles)","Alarm System","BI Value","Building Cost","Contents Cost","Fire Protection","Protection Type","Replacement Cost","source_file"
"1","Golden Gate Retail - San Francisco","5771 Route 9","San Francisco","CA","90431","Standalone Retail","Retail - Standalone","Fire Resistive","1995","4","79316","Y","Wet","Central","Y","Single Ply Membrane","16","2519000","971000","701000","4191000","C","4","4","20.6","0.7","","","","","","","","golden_gate_retail_sov"
"2","Golden Gate Retail - Los Angeles","1024 Highway 1","Los Angeles","CA","90843","Mixed-Use Retail/Office","Retail - Mixed Use","Masonry Non-Combustible","2014","1","41544","Y","Wet","Central","Y","Clay Tile","3","3340000","975000","1909000","6224000","C","4","4","43.6","5","","","","","","","","golden_gate_retail_sov"
"3","Golden Gate Retail - San Diego","9207 Factory Rd","San Diego","CA","90056","Standalone Retail","Retail - Standalone","Masonry Non-Combustible","2009","3","41051","Y","Wet","Central","Y","Single Ply Membrane","10","3160000","1814000","1233000","6207000","X","4","5","54.6","4.8","","","","","","","","golden_gate_retail_sov"
"4","Golden Gate Retail - Sacramento","6924 Warehouse Row","Sacramento","CA","90263","Standalone Retail","Retail - Standalone","Masonry Non-Combustible","2003","4","29558","Y","Wet","Local","Y","Built-Up","11","4656000","1271000","1480000","7407000","C","4","4","45.4","1.9","","","","","","","","golden_gate_retail_sov"
"5","Golden Gate Retail - San Jose","5555 First Ave","San Jose","CA","90033","Standalone Retail","Retail - Standalone","Masonry Non-Combustible","1992","4","58637","Y","Wet","Central","Y","Single Ply Membrane","3","3489000","985000","1055000","5529000","X","4","4","17.5","5.8","","","","","","","","golden_gate_retail_sov"
"6","Golden Gate Retail - Oakland","8501 Factory Rd","Oakland","CA","90717","Shopping Centre","Retail - Shopping Centre","Masonry Non-Combustible","2014","4","41797","Y","Wet","Local","Y","Clay Tile","12","2623000","881000","752000","4256000","B","4","4","21.7","4.7","","","","","","","","golden_gate_retail_sov"
"7","Golden Gate Retail - Fresno","5504 Airport Blvd","Fresno","CA","90693","Standalone Retail","Retail - Standalone","Fire Resistive","2001","3","64254","Y","Wet","Central","Y","Single Ply Membrane","19","4795000","1774000","920000","7489000","C","4","4","13","3.2","","","","","","","","golden_gate_retail_sov"
"8","Golden Gate Retail - Long Beach","1317 Oak Ave","Long Beach","CA","90062","Standalone Retail","Retail - Standalone","Non-Combustible","2014","4","74303","Y","Dry","Central","Y","Clay Tile","19","2317000","1162000","563000","4042000","X","4","5","3.7","5.1","","","","","","","","golden_gate_retail_sov"
"9","Golden Gate Retail - Santa Ana","4601 Terminal Blvd","Santa Ana","CA","90408","Strip Mall","Retail - Strip Mall","Fire Resistive","2012","2","11198","Y","Dry","Local","Y","Clay Tile","17","4068000","1035000","1690000","6793000","C","4","4","2.3","5","","","","","","","","golden_gate_retail_sov"
"10","Golden Gate Retail - Anaheim","3800 First Ave","Anaheim","CA","90101","Mixed-Use Retail/Office","Retail - Mixed Use","Fire Resistive","1993","1","78732","Y","Wet","Local","Y","Single Ply Membrane","14","3585000","2058000","1360000","7003000","C","4","5","20.2","2.7","","","","","","","","golden_gate_retail_sov"
"11","Golden Gate Retail - Irvine","3864 Lakeview Rd","Irvine","CA","90974","Mixed-Use Retail/Office","Retail - Mixed Use","Masonry Non-Combustible","2005","1","11238","Y","Wet","Local","Y","Clay Tile","12","2341000","1116000","546000","4003000","X","4","5","73.6","0.8","","","","","","","","golden_gate_retail_sov"
"12","Golden Gate Retail - Pasadena","9339 Harbor Dr","Pasadena","CA","90968","Shopping Centre","Retail - Shopping Centre","Masonry Non-Combustible","2019","3","14312","Y","Dry","Central","Y","Clay Tile","6","3516000","1474000","747000","5737000","C","4","4","24.6","2.3","","","","","","","","golden_gate_retail_sov"
"13","Golden Gate Retail - Berkeley","4578 Corporate Dr","Berkeley","CA","90735","Strip Mall","Retail - Strip Mall","Masonry Non-Combustible","2013","1","75639","Y","Dry","Central","Y","Single Ply Membrane","9","3516000","1130000","973000","5619000","C","4","4","3.3","3.5","","","","","","","","golden_gate_retail_sov"
"14","Golden Gate Retail - Palo Alto","6009 Center St","Palo Alto","CA","90104","Mixed-Use Retail/Office","Retail - Mixed Use","Non-Combustible","1995","4","21232","Y","Dry","Central","N","Built-Up","4","2662000","1020000","1246000","4928000","X","4","5","31.8","2.9","","","","","","","","golden_gate_retail_sov"
"15","Golden Gate Retail - Santa Monica","6879 Jefferson Dr","Santa Monica","CA","90183","Standalone Retail","Retail - Standalone","Fire Resistive","1994","1","34561","Y","Dry","Central","Y","Built-Up","13","3250000","1335000","988000","5573000","B","4","4","2","3.6","","","","","","","","golden_gate_retail_sov"
"1","Gulf Energy Storage - Houston","6181 Center St","Houston","TX","77814","Energy storage facility - battery / LNG","Energy - Storage Facility","Non-Combustible","2017","1","61174","Y","Dry / Deluge","Central","Y","Metal","2","15999000","4405000","5393000","25797000","A","1","1","16.2","8.1","","","","","","","","gulf_coast_energy_sov"
"2","Gulf Energy Storage - Galveston","3737 Corporate Dr","Galveston","TX","77506","Energy storage facility - battery / LNG","Energy - Storage Facility","Non-Combustible","2018","1","93893","Y","Dry / Deluge","Central","Y","Metal","2","11458000","3102000","3462000","18022000","A","1","1","23.7","5.2","","","","","","","","gulf_coast_energy_sov"
"3","Gulf Energy Storage - Corpus Christi","1723 Third Ave","Corpus Christi","TX","77220","Energy storage facility - battery / LNG","Energy - Storage Facility","Non-Combustible","2018","1","65903","Y","Dry / Deluge","Central","Y","Metal","4","8562000","2490000","4294000","15346000","A","1","1","8.3","9.3","","","","","","","","gulf_coast_energy_sov"
"4","Gulf Energy Storage - Beaumont","411 Ocean Ave","Beaumont","TX","77328","Energy storage facility - battery / LNG","Energy - Storage Facility","Non-Combustible","2019","1","53191","Y","Dry / Deluge","Central","Y","Metal","7","10334000","3710000","2791000","16835000","B","1","1","22.7","6.9","","","","","","","","gulf_coast_energy_sov"
"5","Gulf Energy Storage - Port Arthur","7589 Maple Rd","Port Arthur","TX","77179","Energy storage facility - battery / LNG","Energy - Storage Facility","Non-Combustible","2019","1","49573","Y","Dry / Deluge","Central","Y","Metal","6","11712000","3527000","3761000","19000000","A","1","1","6.3","2.1","","","","","","","","gulf_coast_energy_sov"
"1","Heritage Grand Miami Beach","6680 Enterprise Way","Miami Beach","FL","33139","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2002","13","102735","Y","Wet","Central","Y","Single Ply Membrane","12","14312000","7414000","3440000","25166000","A","1","1","0.2","3.4","","","","","","","","heritage_hotels_sov"
"2","Heritage Resort Key West","9690 Second St","Key West","FL","33040","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","1998","11","312554","Y","Wet","Central","Y","Concrete Tile","5","11662000","3663000","5943000","21268000","A","1","1","0.4","4.1","","","","","","","","heritage_hotels_sov"
"3","Heritage Oceanview Fort Lauderdale","9133 Lakeview Rd","Fort Lauderdale","FL","33301","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2007","13","234611","Y","Wet","Central","Y","Clay Tile","16","5187000","2572000","2315000","10074000","A","2","1","2.1","4.3","","","","","","","","heritage_hotels_sov"
"4","Heritage Bay Naples","5220 Ocean Ave","Naples","FL","34102","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2008","11","199796","Y","Wet","Central","Y","Clay Tile","13","9330000","3137000","2483000","14950000","A","2","1","1.9","2.6","","","","","","","","heritage_hotels_sov"
"5","Heritage Palm Beach Club","2231 Oak Ave","Palm Beach","FL","33480","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2006","6","328652","Y","Wet","Central","Y","Concrete Tile","5","7648000","2007000","2587000","12242000","A","2","1","0.3","4.7","","","","","","","","heritage_hotels_sov"
"6","Heritage Emerald Destin","942 Sunset Blvd","Destin","FL","32541","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2005","14","144084","Y","Wet","Central","Y","Clay Tile","14","11352000","5238000","1399000","17989000","A","2","1","1.1","5.6","","","","","","","","heritage_hotels_sov"
"7","Heritage Sands Clearwater","9213 Lincoln Way","Clearwater","FL","33755","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2004","9","134316","Y","Wet","Central","Y","Single Ply Membrane","9","6271000","2665000","3050000","11986000","A","2","1","2.1","2.8","","","","","","","","heritage_hotels_sov"
"8","Heritage Historic St Augustine","4577 First Ave","St Augustine","FL","32084","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","1998","8","198572","Y","Wet","Central","Y","Clay Tile","3","6510000","2737000","1761000","11008000","A","2","1","1.8","1.1","","","","","","","","heritage_hotels_sov"
"9","Heritage Island Bahamas","602 Park Ave","Nassau","Bahamas","BS-NP","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2005","9","83201","Y","Wet","Central","Y","Concrete Tile","7","10834000","3892000","3796000","18522000","A","1","1","0.4","4.2","","","","","","","","heritage_hotels_sov"
"10","Heritage Turks & Caicos Resort","9868 Park Ave","Providenciales","Turks & Caicos","TKCA 1ZZ","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2001","10","300113","Y","Wet","Central","Y","Clay Tile","13","8817000","3313000","4708000","16838000","A","1","1","0.9","5.7","","","","","","","","heritage_hotels_sov"
"11","Heritage St Kitts Plantation Inn","7342 Innovation Dr","Basseterre","St Kitts","KN-01","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","1996","6","162528","Y","Wet","Central","Y","Single Ply Membrane","4","12841000","4076000","4445000","21362000","A","1","1","1.7","3.4","","","","","","","","heritage_hotels_sov"
"12","Heritage Barbados Beach Club","5153 Commerce Dr","Bridgetown","Barbados","BB15028","Luxury hotel & resort","Hospitality - Luxury Hotel","Fire Resistive","2003","7","348617","Y","Wet","Central","Y","Concrete Tile","14","10497000","3579000","4519000","18595000","A","1","1","1.7","3.4","","","","","","","","heritage_hotels_sov"
"1","Midwest Ag Facility #1 - Duluth","3086 Highway 1","Duluth","MN","55170","Feed processing plant","Agriculture - Feed Processing","Heavy Timber","2005","1","26791","","","","Y","Built-Up","31","","","","","X","4","1","825.2","11.3","None","215000","989000","455000","No","N/A","1659000","midwest_ag_sov"
"2","Midwest Ag Facility #2 - Davenport","883 Third Ave","Davenport","IA","50415","Feed processing plant","Agriculture - Feed Processing","Heavy Timber","1986","1","7746","","","","Y","Built-Up","31","","","","","X","4","1","633.8","7.3","None","260000","654000","211000","No","N/A","1125000","midwest_ag_sov"
"3","Midwest Ag Facility #3 - Appleton","9970 Pine Dr","Appleton","WI","53845","Seed cleaning & storage","Agriculture - Seed Processing","Heavy Timber","1999","2","27219","","","","N","Built-Up","34","","","","","B","4","1","1009","3.9","Local","178000","578000","177000","Yes","Dry","933000","midwest_ag_sov"
"4","Midwest Ag Facility #4 - Fargo","7226 River Rd","Fargo","ND","58016","Grain elevator & storage","Agriculture - Grain Storage","Heavy Timber","1995","3","24375","","","","Y","Built-Up","10","","","","","B","4","1","1008.8","13.9","Local","289000","900000","302000","No","N/A","1491000","midwest_ag_sov"
"5","Midwest Ag Facility #5 - Duluth","2613 Corporate Dr","Duluth","MN","55557","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","1990","1","14357","","","","N","Metal","12","","","","","C","4","1","1164.6","3.4","Local","330000","1143000","380000","Yes","Dry","1853000","midwest_ag_sov"
"6","Midwest Ag Facility #6 - Des Moines","2029 Ocean Ave","Des Moines","IA","50473","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","1989","3","29048","","","","N","Metal","35","","","","","C","4","1","862.4","14","Local","250000","580000","292000","No","N/A","1122000","midwest_ag_sov"
"7","Midwest Ag Facility #7 - Oshkosh","5792 Maple Rd","Oshkosh","WI","53884","Grain drying facility","Agriculture - Grain Drying","Heavy Timber","2000","1","13037","","","","N","Metal","33","","","","","X","4","1","1177.3","14.8","Local","137000","890000","439000","No","N/A","1466000","midwest_ag_sov"
"8","Midwest Ag Facility #8 - Grand Forks","9138 Highway 1","Grand Forks","ND","58911","Feed processing plant","Agriculture - Feed Processing","Heavy Timber","2005","1","28690","","","","N","Metal","12","","","","","X","4","1","900.6","8.6","Local","444000","1206000","300000","No","N/A","1950000","midwest_ag_sov"
"9","Midwest Ag Facility #9 - Duluth","9132 Pine Dr","Duluth","MN","55268","Seed cleaning & storage","Agriculture - Seed Processing","Heavy Timber","2000","3","31921","","","","N","Metal","7","","","","","C","4","1","589.8","12.9","Local","148000","465000","206000","Yes","Wet","819000","midwest_ag_sov"
"10","Midwest Ag Facility #10 - Des Moines","9124 River Rd","Des Moines","IA","50249","Grain elevator & storage","Agriculture - Grain Storage","Heavy Timber","2001","1","24931","","","","Y","Metal","16","","","","","C","4","1","1092.2","6","None","332000","1642000","583000","No","N/A","2557000","midwest_ag_sov"
"11","Midwest Ag Facility #11 - Oshkosh","564 Park Ave","Oshkosh","WI","53094","Grain elevator & storage","Agriculture - Grain Storage","Heavy Timber","2001","3","16051","","","","N","Metal","26","","","","","C","4","1","1089.8","9.8","Local","97000","473000","227000","No","N/A","797000","midwest_ag_sov"
"12","Midwest Ag Facility #12 - Bismarck","1081 Elm St","Bismarck","ND","58767","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","1998","3","6984","","","","Y","Built-Up","25","","","","","X","4","1","784.3","8.4","Local","225000","1081000","374000","No","N/A","1680000","midwest_ag_sov"
"13","Midwest Ag Facility #13 - Rochester","4060 Logistics Ln","Rochester","MN","55147","Feed processing plant","Agriculture - Feed Processing","Heavy Timber","1995","3","14415","","","","N","Metal","32","","","","","C","4","1","860.5","4.3","Local","391000","907000","345000","No","N/A","1643000","midwest_ag_sov"
"14","Midwest Ag Facility #14 - Cedar Rapids","8271 First Ave","Cedar Rapids","IA","50701","Feed processing plant","Agriculture - Feed Processing","Heavy Timber","1988","1","24019","","","","N","Built-Up","34","","","","","B","4","1","848.8","9.2","Local","559000","1516000","509000","Yes","Dry","2584000","midwest_ag_sov"
"15","Midwest Ag Facility #15 - Appleton","1861 Enterprise Way","Appleton","WI","53245","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","1999","1","19099","","","","N","Built-Up","20","","","","","X","4","1","829.4","9.4","Local","232000","1023000","480000","No","N/A","1735000","midwest_ag_sov"
"16","Midwest Ag Facility #16 - Minot","2046 Highway 1","Minot","ND","58165","Grain drying facility","Agriculture - Grain Drying","Heavy Timber","1986","2","8352","","","","N","Metal","14","","","","","X","4","1","695.8","14.9","Local","373000","723000","319000","No","N/A","1415000","midwest_ag_sov"
"17","Midwest Ag Facility #17 - Duluth","8546 Highway 1","Duluth","MN","55595","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","1996","1","18045","","","","Y","Metal","6","","","","","C","4","1","863.5","4.8","None","372000","794000","404000","No","N/A","1570000","midwest_ag_sov"
"18","Midwest Ag Facility #18 - Cedar Rapids","6924 First Ave","Cedar Rapids","IA","50097","Seed cleaning & storage","Agriculture - Seed Processing","Heavy Timber","2004","3","24610","","","","Y","Metal","20","","","","","B","4","1","757.9","11.1","Local","377000","1148000","369000","No","N/A","1894000","midwest_ag_sov"
"19","Midwest Ag Facility #19 - Green Bay","9480 Market St","Green Bay","WI","53307","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","2003","1","8365","","","","Y","Metal","28","","","","","B","4","1","1075.2","5.9","Local","336000","1524000","710000","No","N/A","2570000","midwest_ag_sov"
"20","Midwest Ag Facility #20 - Grand Forks","7937 Warehouse Row","Grand Forks","ND","58652","Seed cleaning & storage","Agriculture - Seed Processing","Heavy Timber","1989","2","18362","","","","N","Metal","28","","","","","B","4","1","892.6","15","Local","367000","585000","196000","No","N/A","1148000","midwest_ag_sov"
"21","Midwest Ag Facility #21 - Rochester","4990 Airport Blvd","Rochester","MN","55443","Fertilizer storage","Agriculture - Chemical Storage","Heavy Timber","1995","3","28218","","","","Y","Metal","30","","","","","B","4","1","1170.1","6.3","Local","124000","481000","192000","No","N/A","797000","midwest_ag_sov"
"22","Midwest Ag Facility #22 - Iowa City","2499 Sunset Blvd","Iowa City","IA","50041","Seed cleaning & storage","Agriculture - Seed Processing","Heavy Timber","1995","2","27859","","","","N","Built-Up","8","","","","","C","4","1","1072.9","14.5","Local","400000","1285000","508000","No","N/A","2193000","midwest_ag_sov"
"1","Northern Advanced Manufacturing Center","4500 Innovation Dr","Allentown","PA","18101","Light manufacturing - precision components","Manufacturing - Light","Fire Resistive","2015","2","145000","Y","Wet","Central","Y","Single Ply Membrane","9","14554000","5705000","7741000","28000000","X","4","2","185","1.2","","","","","","","","northern_manufacturing_sov"
"1","Pacific Retail - Athens Power Centre","9225 Airport Blvd","Athens","GA","30503","Power Centre","Retail - Power Centre","Masonry Non-Combustible","1995","2","54566","Y","Dry","Central","N","Built-Up","21","1972000","762000","579000","3313000","X","3","2","79","7.9","","","","","","","","pacific_retail_sov"
"2","Pacific Retail - Jacksonville Standalone Retail","8930 Ocean Ave","Jacksonville","FL","32969","Standalone Retail","Retail - Standalone","Joisted Masonry","2002","1","35653","N","N/A","Central","N","Metal","8","489000","171000","158000","818000","C","3","1","32.2","6.1","","","","","","","","pacific_retail_sov"
"3","Pacific Retail - Myrtle Beach Standalone Retail","288 Market St","Myrtle Beach","SC","29845","Standalone Retail","Retail - Standalone","Non-Combustible","1993","3","72686","Y","Wet","Central","Y","Single Ply Membrane","23","1033000","293000","508000","1834000","C","4","1","194.4","7","","","","","","","","pacific_retail_sov"
"4","Pacific Retail - Charlotte Standalone Retail","8789 Main St","Charlotte","NC","27957","Standalone Retail","Retail - Standalone","Joisted Masonry","1995","2","8425","N","N/A","Central","Y","Single Ply Membrane","18","1034000","455000","134000","1623000","B","3","1","77.9","1.7","","","","","","","","pacific_retail_sov"
"5","Pacific Retail - Nashville Shopping Centre","8745 Enterprise Way","Nashville","TN","37383","Shopping Centre","Retail - Shopping Centre","Masonry Non-Combustible","2004","1","15592","Y","Wet/Dry","Central","Y","Modified Bitumen","4","2397000","852000","458000","3707000","X","3","2","189.6","1.7","","","","","","","","pacific_retail_sov"
"6","Pacific Retail - Mobile Power Centre","5513 Maple Rd","Mobile","AL","35834","Power Centre","Retail - Power Centre","Masonry Non-Combustible","2013","3","67177","Y","Wet","Central","Y","Built-Up","20","2020000","826000","619000","3465000","X","2","1","49.6","7.3","","","","","","","","pacific_retail_sov"
"7","Pacific Retail - Roswell Strip Mall","1890 Harbor Dr","Roswell","GA","30338","Strip Mall","Retail - Strip Mall","Non-Combustible","2015","1","69993","Y","Wet","Central","Y","Modified Bitumen","13","2446000","955000","939000","4340000","X","2","1","83.5","3","","","","","","","","pacific_retail_sov"
"8","Pacific Retail - Pensacola Strip Mall","3602 Technology Pkwy","Pensacola","FL","32026","Strip Mall","Retail - Strip Mall","Joisted Masonry","1996","2","68637","Y","Wet","Local","N","Built-Up","3","640000","247000","183000","1070000","X","2","1","37.4","4.1","","","","","","","","pacific_retail_sov"
"9","Pacific Retail - Charleston Power Centre","8338 Warehouse Row","Charleston","SC","29208","Power Centre","Retail - Power Centre","Masonry Non-Combustible","2014","2","63444","Y","Wet/Dry","Central","N","Modified Bitumen","6","1284000","444000","702000","2430000","X","2","1","16.1","4.9","","","","","","","","pacific_retail_sov"
"10","Pacific Retail - Charlotte Strip Mall","4010 Ocean Ave","Charlotte","NC","27624","Strip Mall","Retail - Strip Mall","Fire Resistive","1989","3","38828","Y","Wet/Dry","Central","N","Built-Up","21","429000","208000","201000","838000","A","3","1","44.8","5.9","","","","","","","","pacific_retail_sov"
"11","Pacific Retail - Chattanooga Standalone Retail","9000 First Ave","Chattanooga","TN","37980","Standalone Retail","Retail - Standalone","Fire Resistive","1985","2","89416","N","N/A","Central","Y","Single Ply Membrane","18","866000","465000","274000","1605000","X","3","1","60.6","3.8","","","","","","","","pacific_retail_sov"
"12","Pacific Retail - Tuscaloosa Standalone Retail","932 Park Ave","Tuscaloosa","AL","35640","Standalone Retail","Retail - Standalone","Fire Resistive","1993","2","23129","N","N/A","Central","N","Single Ply Membrane","10","1502000","503000","764000","2769000","B","3","1","103.6","2.4","","","","","","","","pacific_retail_sov"
"13","Pacific Retail - Atlanta Standalone Retail","2188 Commerce Dr","Atlanta","GA","30450","Standalone Retail","Retail - Standalone","Non-Combustible","2001","1","65912","Y","Dry","Central","Y","Built-Up","4","529000","209000","86000","824000","X","2","1","118.6","1.6","","","","","","","","pacific_retail_sov"
"14","Pacific Retail - Fort Myers Strip Mall","6845 Harbor Dr","Fort Myers","FL","32421","Strip Mall","Retail - Strip Mall","Non-Combustible","1991","2","81385","N","N/A","Local","N","Single Ply Membrane","9","960000","452000","112000","1524000","X","4","1","40","7.4","","","","","","","","pacific_retail_sov"
"15","Pacific Retail - Myrtle Beach Shopping Centre","5525 Industrial Blvd","Myrtle Beach","SC","29142","Shopping Centre","Retail - Shopping Centre","Joisted Masonry","1999","1","68332","Y","Wet","Central","Y","Single Ply Membrane","14","1843000","939000","574000","3356000","B","3","2","137.5","6.8","","","","","","","","pacific_retail_sov"
"16","Pacific Retail - Wilmington Standalone Retail","3328 Lincoln Way","Wilmington","NC","27615","Standalone Retail","Retail - Standalone","Fire Resistive","1991","3","64959","Y","Dry","Local","N","Built-Up","14","1860000","523000","547000","2930000","X","4","1","106.4","6.5","","","","","","","","pacific_retail_sov"
"17","Pacific Retail - Clarksville Standalone Retail","5078 Sunset Blvd","Clarksville","TN","37369","Standalone Retail","Retail - Standalone","Fire Resistive","2004","3","48538","Y","Dry","Local","N","Metal","19","837000","343000","432000","1612000","C","3","1","84.2","6.8","","","","","","","","pacific_retail_sov"
"18","Pacific Retail - Tuscaloosa Standalone Retail","3362 Route 9","Tuscaloosa","AL","35003","Standalone Retail","Retail - Standalone","Joisted Masonry","2013","2","36010","Y","Wet/Dry","Central","N","Built-Up","11","1795000","762000","553000","3110000","B","2","1","136.2","2.2","","","","","","","","pacific_retail_sov"
"19","Pacific Retail - Roswell Outlet Store","8586 Logistics Ln","Roswell","GA","30083","Outlet Store","Retail - Outlet","Fire Resistive","2014","2","90544","Y","Wet/Dry","Central","Y","Modified Bitumen","14","2149000","995000","860000","4004000","X","2","2","47.7","6.5","","","","","","","","pacific_retail_sov"
"20","Pacific Retail - Tampa Power Centre","4346 Harbor Dr","Tampa","FL","32487","Power Centre","Retail - Power Centre","Non-Combustible","2014","3","77616","N","N/A","Central","Y","Modified Bitumen","21","462000","211000","70000","743000","C","4","1","150","4.1","","","","","","","","pacific_retail_sov"
