source_file,uw_notes_text
RS_central_warehouse_2026,"UNDERWRITER COMMENTARY
Central Warehouse Solutions renewal -- 2nd year. TIV GBP 41M (approx $52M). 3 distribution centres in the West Midlands.

Year 1 loss experience was acceptable (GBP 35K forklift damage, GBP 22K roof leak) but Q4 2025 brought a GBP 420K fire in the Wolverhampton DC -- electrical fault in the goods-in area that spread to racked stock before sprinklers contained it. Investigation found the sprinkler heads in that zone were obstructed by non-compliant racking installed by a contractor without notifying us.

This is a compliance failure by the insured. The fire SHOULD have been a GBP 50K event if sprinklers had operated as designed. Instead it was GBP 420K. Still open with GBP 80K reserved.

Renewing at GBP 4.80/thousand (up from GBP 3.60 -- a 33% increase). CONDITIONS: (1) immediate racking compliance audit across all 3 DCs, (2) sprinkler system re-certification, (3) written confirmation that no racking modifications will be made without insurer notification.

Howden (Helen Taylor) has been straightforward about the contractor issue. The insured is cooperating fully. But trust has been damaged and the rate increase reflects both the loss and the compliance breach. If the audit reveals further sprinkler obstructions, we'll need to reconsider our position entirely."
RS_coastal_marina_2025,"UNDERWRITER COMMENTARY
Coastal Marina -- 6 waterfront resort properties in FL Keys and SW FL. TIV $180M. DECLINE.

Multiple red flags: (1) Frame construction at 4 of 6 locations -- ISO Class 1 in a Tier 1 wind zone is essentially uninsurable at any reasonable rate. (2) 3 locations have no sprinklers. (3) Flood zone AE for 5 of 6 properties. (4) Loss history includes $2.4M Hurricane Irma claim (2017) and $800K tropical storm damage (2022).

PML at 100yr return is $95M. The CAT load alone would require a rate of $12.00/thousand minimum. Broker (Marsh, Sarah Price) is seeking $6.00/thousand which is completely unrealistic.

We've declined similar FL Keys hospitality three times in the past 2 years. Frame construction on the water in the Keys is not a class we can underwrite. Clear decline -- communicated to Sarah."
RS_continental_logistics_2025,"UNDERWRITER COMMENTARY
Continental Logistics -- 5 large distribution centres in AZ and NV. TIV $90M. Non-combustible tilt-up concrete construction, ESFR sprinklers throughout. Modern facilities (2017-2022 build). High-bay racking up to 40ft -- ESFR design is critical for this storage arrangement.

Two claims in 5 years: $35K forklift collision damage (2024) and $48K roof leak from monsoon (2023). Loss ratio 6%. Excellent for warehousing.

Minimal CAT exposure -- AZ/NV is very low wind and flood. Some wildfire exposure at the Henderson, NV location but defensible space exceeds 200ft and local fire department is 3 miles away.

Technical rate $3.80/thousand, binding at $3.60. Aon account, Lisa Chang. Bind at $324K. This is the type of warehouse risk we actively target -- modern construction, ESFR sprinklers, low CAT zone."
RS_crown_properties_2025,"UNDERWRITER COMMENTARY
Crown Properties -- prestigious portfolio of 15 commercial office buildings in central London (City, Canary Wharf, West End). TIV GBP 175M (approx $220M). All Grade A office space, fire resistive construction, fully sprinklered.

This is a follow placement -- Hiscox leads at GBP 1.80/thousand, we're taking 20% line. Loss history is clean: single GBP 45K water escape claim in 2024. London commercial office is a bread-and-butter class for us.

Terrorism cover included via Pool Re. Flood exposure is managed -- all properties are in Flood Zone 1 (low risk) per EA mapping. No subsidence history.

Our line premium: GBP 63K ($79.5K equivalent). Ed Broking handles the placement -- Greg Thomson is the broker. Minimal CAT exposure. Good diversification for the London book."
RS_eastcoast_food_2026,"UNDERWRITER COMMENTARY
Eastcoast Food Services renewal -- third year on the book and the loss experience is trending badly. Year 1 was clean. Year 2 had a $95K grease duct fire (kitchen exhaust system) and a $45K slip/trip water damage claim. Year 3 (current) has a $280K walk-in freezer failure with full inventory loss and a $60K fire in the packaging area.

Cumulative losses: $480K over 3 years. Premiums collected: $390K. Loss ratio: 123%. This is unsustainable.

We're renewing but at a significant rate increase: expiring $5.40/thousand ($205.2K), renewing at $7.00/thousand ($266K) -- a 30% increase. The alternative was non-renewal but the broker (Marsh, James Whitfield) made a convincing case that the freezer failure was a one-off mechanical event and the insured has since installed redundant cooling.

CONDITIONS for renewal: (1) $100K deductible (up from $25K), (2) quarterly kitchen exhaust cleaning certification, (3) redundant freezer alarm system. If there's ANOTHER large loss in year 4, we non-renew without discussion. James understands this.

Referred to Simon for the rate adequacy question. Simon approved with the conditions noted."
RS_eastside_plastics_2025,"UNDERWRITER COMMENTARY
Eastside Plastics -- single facility plastics moulding and extrusion in Cleveland, OH. TIV $20M. DECLINE.

Plastics manufacturing is a challenging class due to combustible raw materials and high-temperature processes. This facility compounds the risk with: joisted masonry construction (1972), no compartmentation between production and warehouse, and inadequate sprinkler system (the existing wet-pipe system was designed for ordinary hazard but the occupancy is extra hazard).

Three claims in 4 years: $180K extruder fire (2024), $95K raw material fire (2023), $60K electrical (2022). Loss ratio 105%.

Willis (Robert Chen) has been told we need: (a) sprinkler upgrade to EH density, (b) fire walls between production and storage, and (c) 2 clean years before we'd reconsider. Decline for now."
RS_grandview_hotel_2025,"UNDERWRITER COMMENTARY
Grandview Hotel -- 5 resort hotels, 3 in FL (Orlando, Tampa, Destin), 1 in Hilton Head SC, 1 in Myrtle Beach SC. TIV $140M. REFERRED to Simon Thornton -- above Level 2 authority.

The Orlando and Tampa properties are inland and acceptable. But the Destin, Hilton Head, and Myrtle Beach locations bring material wind exposure. Aggregate PML at 250yr is $52M.

Technical rate $6.20/thousand, broker seeking $5.80. Deviation is 6.5% which would normally be within my authority, but the TIV exceeds my $100M threshold.

My recommendation to Simon: bind at $5.80 with named storm deductible of 3% per coastal location and 2% aggregate. The inland locations anchor the portfolio and the blended rate is adequate. Need fac for the wind excess layer.

Aon (Paul Henderson) is pushing for quick turnaround. Referred for Simon's decision."
RS_greenfield_office_2025,"UNDERWRITER COMMENTARY
Greenfield Office Park -- 4 suburban office buildings in NJ. TIV $60M. NTU -- broker placed elsewhere.

Clean risk, fire resistive, fully sprinklered, no claims. We quoted $2.60/thousand ($156K) against technical of $2.80. Aon (Lisa Chang) came back and said AIG offered $2.20/thousand.

We're not matching $2.20 -- that's 21% below our technical rate and below what we believe is adequate for the class. AIG appears to be buying market share in suburban office, which is their prerogative, but we won't participate in a race to the bottom.

If AIG's pricing doesn't hold at renewal and this comes back, we'd re-quote at our original $2.60 or wherever technical sits at that point. No hard feelings -- Lisa knows our position."
RS_gulf_coast_energy_2026,"UNDERWRITER COMMENTARY
Gulf Coast Energy Storage -- 5 facilities along TX coast, TIV $95M. Energy storage is a growth class for us but this one has genuine CAT complexity. Houston, Galveston, Corpus Christi, Beaumont, Port Arthur -- all in wind Tier 1-2 zones.

One historical claim: $145K from tropical storm roof/piping damage (2024), currently $25K still reserved. The underlying risk quality is decent -- non-combustible, 2016-2020 construction, sprinklered, proper containment. But aggregate wind PML is $42M at 100yr return.

Technical rate $8.00/thousand, broker (Thomas Keane, McGill) targeting $7.50. Deviation is only 6.25% but the TIV and CAT exposure push this above my Level 2 authority. Referring to Simon.

My recommendation: bind with named storm deductible of 3% per location and aggregate CAT deductible of $2M. This brings net CAT exposure to manageable level. If Simon agrees to terms, the energy sector expertise this builds is worth the allocation."
RS_harley_medical_2024,"UNDERWRITER COMMENTARY
Harley Medical Group -- 3 private medical facilities in London (Harley Street, Kensington, Chelsea). TIV GBP 36M (approx $45M). High-quality fire resistive construction, all fully sprinklered with specialised suppression in operating theatres and MRI suites.

Private healthcare in central London is a well-understood class. The facilities are impeccably maintained -- CQC-rated Outstanding. No claims in 4 years on our book.

Technical rate GBP 2.40/thousand, binding at GBP 2.20. Small deviation justified by zero loss experience and quality of risk. Guy Carpenter placed the programme -- Neil Armstrong.

Bind at GBP 79.2K ($99K). Terrorism via Pool Re. Low-maintenance account, excellent fit for the London healthcare book."
RS_heartland_foods_2025,"UNDERWRITER COMMENTARY
Heartland Foods -- 2 meat processing facilities in NE and KS. TIV $30M. NTU -- placed with incumbent.

Food processing is a class we're building expertise in. Quoted at $5.80/thousand ($174K) which was competitive with technical at $6.00. However, the insured chose to stay with their incumbent (Travelers) at $5.40/thousand with multi-year deal.

Multi-year commitments aren't something we typically offer on property, and matching a 3-year rate lock at $5.40 isn't justified by the risk profile. The LTR (long-term relationship) between Heartland and Travelers goes back 8 years.

Not surprised. Willis (Emily Watson) gave us a fair shot but the incumbent relationship was too strong. We'll see this again if Travelers adjusts pricing at the 3-year renewal."
RS_heritage_hotels_2026,"UNDERWRITER COMMENTARY
Heritage Hotels -- 12 luxury properties, major red flag: 8 of 12 are coastal FL and Caribbean. TIV $200M with approximately $140M in Tier 1 wind zones. Running the CAT numbers, PML at 250yr return is $85M -- well above our net tolerance.

CAT load alone pushes minimum viable rate to $8.50/thousand. Lockton is looking for $5.50 which is dramatically below what the risk requires. Even with fac, the net economics don't work -- fac market is extremely tight for Caribbean hospitality post-Ian.

Similar to Beachfront Resorts (2023) and Coastal Luxury Properties (2024), both declined for identical reasons. The non-coastal 4 properties are fine risks but we can't cherry-pick the schedule. If they restructured to exclude Caribbean locations, we could revisit. As submitted, this is a clear decline. Emily at Lockton understands our position."
RS_highstreet_retail_2024,"UNDERWRITER COMMENTARY
Highstreet Retail Group -- 10 department store locations across North West England. TIV GBP 30M (approx $38M). Masonry non-combustible construction, mix of Victorian-era and 1960s buildings, all upgraded with modern fire detection and 7 of 10 sprinklered.

Retail is a moderate hazard class. Highstreet has good housekeeping standards and staff fire training. The 3 unsprinklered locations are smaller (sub-GBP 2M TIV each) with detection and 24/7 monitoring.

One claim: GBP 65K arson attempt at Manchester store (2023) -- fire contained by sprinklers. Loss ratio 11%. Technical rate GBP 4.20/thousand, binding at GBP 4.00.

Howden account, Ian Russell. Bind at GBP 120K ($150K). Arson is a concern for high-street retail but Highstreet has good security including CCTV and roller shutters."
RS_island_resort_2024,"UNDERWRITER COMMENTARY
Island Resort Collection -- 5 luxury resort properties across Bahamas, Turks & Caicos, and BVI. TIV $250M. DECLINE.

Caribbean hospitality portfolios are essentially CAT plays and our appetite for this class is effectively zero post-Ian. The 250yr PML on this portfolio is $145M. Named storm deductibles help but don't change the fundamental exposure.

The properties themselves are well-built (masonry non-combustible, hurricane-rated windows, generators) but location is the dominant factor. No loss history available -- this is a new-to-market risk that previously self-insured through a captive.

Lockton (Emily Richards) was transparent about the challenge. She's trying to build a multi-carrier programme. Even at lead-follow terms, we can't allocate CAT capacity to Caribbean hospitality. The maths simply don't work for our book. Decline."
RS_legacy_textiles_2025,"UNDERWRITER COMMENTARY
Legacy Textiles -- 2 textile mills in NC, both 1960s-era frame construction. TIV $25M. DECLINE.

Textile manufacturing in frame buildings is a severely hazardous occupancy. Lint accumulation, combustible raw materials, heat-generating equipment. Neither facility is sprinklered. One location has no fire detection at all.

Loss history is terrible: 4 claims in 5 years totalling $1.8M. 5-year loss ratio 180%. Latest claim was a $900K fire that destroyed the dyeing room (2024). Prior to that: $450K warehouse fire (2023), $280K equipment fire (2022), $170K stock loss from water damage (2021).

No amount of rate adequacy fixes the fundamental risk quality issue here. The facilities need substantial investment in fire protection before we could consider. Willis brought this and I've explained our position. Clear decline."
RS_meridian_mixed_2024,"UNDERWRITER COMMENTARY
Meridian Mixed-Use -- 4 modern mixed-use developments in Greater Manchester. Retail ground floor, commercial office above. TIV GBP 52M (approx $65M). All post-2015 construction, fire resistive, fully sprinklered, compartmented per UK Building Regs.

No claims on our book (bound 2023). Manchester is a growing commercial market with solid occupancy rates. The tenant mix is stable -- no high-hazard retail occupancies (no restaurants/food prep in the schedule).

Technical rate GBP 2.80/thousand, binding at GBP 2.60. Miller Insurance placed this -- Ben Archer is responsive. Terrorism cover via Pool Re.

Our premium GBP 135.2K ($169K equivalent). Good UK portfolio diversification. Renew at flat rate."
RS_metro_parking_2025,"UNDERWRITER COMMENTARY
Metro Parking -- 8 multi-storey parking structures in LA and SF. TIV $120M. DECLINE.

Parking structures in California present severe seismic exposure. 6 of 8 structures are pre-1994 Northridge earthquake code, and 3 have NOT been retrofitted. EQ PML at 500yr return is $72M -- essentially 60% of TIV.

Additionally, two structures have EV charging stations without adequate fire suppression -- lithium battery fire risk in enclosed parking is an emerging concern we're monitoring closely.

Gallagher (Diane Murphy) is seeking $4.00/thousand but the EQ exposure alone requires $7.50+. Pre-Northridge unreinforced parking structures in CA are not insurable at market rates. If they complete seismic retrofits on the 3 deficient structures, we could revisit.

Decline."
RS_midwest_ag_2026,"UNDERWRITER COMMENTARY
Midwest Agricultural Coop -- 22 grain storage and processing facilities across MN, IA, WI, ND. TIV $35M, lots of small locations ($800K-$3M each). Heavy timber construction, mostly unsprinklered -- typical for ag sector.

Three claims in 5 years: hail roof damage ($78K), lightning/electrical surge ($45K), wind damage ($32K). All weather-related, all modest. Total loss ratio 25% which is respectable for agricultural.

Technical rate $6.20/thousand, binding at $6.00 -- within tolerance. The challenge is the number of locations (22) makes this operationally complex for a $35M TIV. But the geographic spread actually reduces aggregation risk -- no more than 4 locations in any single county.

Charlotte Webb at Miller Insurance has placed 6 similar ag accounts with us and all have performed well. Recommend bind at $210K."
RS_national_print_2024,"UNDERWRITER COMMENTARY
National Print -- 2 printing facilities in CT. TIV $32M. Printing is a higher-hazard occupancy due to solvent use, paper stock, and heat-generating equipment. Both facilities are sprinklered with proper solvent storage (FM-approved cabinets, proper ventilation).

Joisted masonry construction is the weaker point -- these are older buildings (1985, 1992) but well-maintained. Fire walls separate press rooms from paper storage.

Two claims in 5 years: $42K ink spill/cleanup (2022) and $65K press roller fire (2023, extinguished by sprinklers before spread). Loss ratio 21%. Technical rate $5.80/thousand, binding at $5.60.

Marsh account, Tom Bradley. This is a mature account -- we've had it for 4 years. Consistent performer. Bind at $179.2K."
RS_nexus_data_2025,"UNDERWRITER COMMENTARY
Nexus Data Systems -- 3 hyperscale data centres in northern VA. TIV $250M. REFERRED -- TIV well above authority.

Data centres are our target growth class and this is a top-tier facility operator. Tier IV design, concurrently maintainable, N+2 power redundancy, clean agent suppression, seismically engineered. The facilities are among the best-protected in our portfolio.

No loss history. Technical rate $3.40/thousand ($850K technical premium). Broker (Gallagher, Rachel Foster) seeking $3.00. Deviation is 11.8% which is significant, but data centre competition is fierce.

Comparable: Cascade Tech (2026) bound at $3.50, Richmond DC (2025) at $3.40. The $3.00 ask is below recent comparables.

My recommendation: offer at $3.20/thousand with 20% line ($800K total, $160K our share). This maintains rate integrity while staying competitive. Rachel has indicated $3.20 could work. Referring to Simon for the TIV authority approval."
RS_northern_mfg_2026,"UNDERWRITER COMMENTARY
Straightforward renewal. Northern Manufacturing -- single facility, light manufacturing, fire resistive construction (2015), fully sprinklered. TIV $28M. Zero claims in 3 years on our book. Technical rate matches quoted at $4.40/thousand. No deviation, no referral needed.

Marsh account, James Whitfield always sends clean submissions. This is the kind of risk we want more of -- modern construction, single location, clean history, experienced broker. Renew at $123.2K flat. No changes to terms."
RS_novus_pharma_2025,"UNDERWRITER COMMENTARY
Novus Pharmaceutical -- 3 facilities in NJ (2 manufacturing, 1 R&D lab). TIV $85M. Pharma is a higher-hazard occupancy but Novus is a well-managed operation with FDA cGMP compliance and strong loss control programme.

Stock values are significant ($22M in finished pharmaceutical products) and temperature-sensitive -- they have redundant cold chain infrastructure. One claim in 5 years: $160K HVAC failure in clean room (2022), fully remediated. 5-year loss ratio 12%.

Technical rate $4.80/thousand, quoting at $4.50 -- 6.25% below technical. The deviation is acceptable given loss experience and the quality of their risk management programme. Marsh placed this originally -- Sarah Price is the contact.

Key coverage point: we've endorsed the policy with a contamination exclusion for the manufacturing facilities and added a product withdrawal sub-limit of $5M. Bind at $382.5K."
RS_oak_ridge_2025,"UNDERWRITER COMMENTARY
Oak Ridge Business Centers -- 3 suburban office parks in Atlanta metro. TIV $25M. NTU.

Straightforward suburban office risk. Masonry non-combustible, sprinklered, no claims. We quoted $2.80/thousand ($70K). Gallagher (Kevin O'Brien) informed us Cincinnati Financial came in at $2.30/thousand on a package with GL and auto.

We don't write casualty so we can't compete on a multi-line package basis. The property-only rate of $2.30 is achievable only because Cincinnati is cross-subsidizing from the casualty lines.

This is a recurring challenge with smaller accounts -- package writers will always have an advantage when the insured wants convenience. NTU. No further action."
RS_pacific_ports_2025,"UNDERWRITER COMMENTARY
Pacific Ports -- 3 marine terminal and warehouse facilities in Long Beach and Oakland. TIV $200M. REFERRED -- TIV significantly above authority and EQ exposure requires senior review.

Marine terminal is a specialty class. The warehousing component is straightforward but the wharf and dock structures present unique exposures. EQ PML at 250yr is $65M due to liquefaction risk at the Long Beach facilities.

No loss history (new to market). Technical rate $5.80/thousand, broker seeking $5.00 (13.8% deviation). That's a significant gap.

My recommendation: if we participate, it should be at technical rate ($5.80) with EQ deductible of 5% and our line limited to 10%. This caps our exposure at $20M net of which EQ maximum is $5.5M after deductible.

McGill (Derek Stone) is building a multi-carrier tower. Referred to Simon for approval of terms and line size."
RS_pacific_retail_2026,"UNDERWRITER COMMENTARY
Strong account, long-standing Aon relationship. 47 retail locations, predominantly SE US. 85% sprinklered, modern construction post-2005. Clean loss history -- single $125K kitchen fire contained by sprinklers.

TIV $120M, quoting at $4.20/thousand which is slightly below technical $4.50 but justified by loss experience, account size, and strategic Aon relationship. Similar to Eastwood Retail (2024) written at $4.50 and Westfield Shopping (2023) at $4.80. Pacific Retail is better quality construction.

Recommend bind at $504K. No fac needed -- well within net retention. Simon approved deviation."
RS_parkview_hotels_2025,"UNDERWRITER COMMENTARY
Parkview Hotels -- 4 mid-range hotel properties in CO and UT. TIV $55M. Mountain resort locations -- ski season is peak occupancy. Hotels are 1995-2010 construction, masonry non-combustible, all sprinklered.

Hospitality is a moderate-hazard class due to cooking, laundry, and 24/7 occupancy. Parkview has a solid risk management programme including commercial kitchen suppression systems (Ansul) and guest room smoke detection.

One claim: $110K kitchen fire at Vail property (2024) -- Ansul system activated and contained to kitchen. No guest injuries. Loss ratio 13%.

Technical rate $4.60/thousand, binding at $4.40. Wildfire is a consideration for the CO properties -- all are in WUI (wildland-urban interface) but defensible space is maintained and local fire response is excellent.

Lockton account, Amanda Foster. Bind at $242K."
RS_phoenix_recycling_2025,"UNDERWRITER COMMENTARY
Phoenix Recycling -- 3 waste processing and recycling facilities in AZ. TIV $18M. DECLINE.

Recycling operations are among the highest-hazard occupancies we see. These facilities process mixed waste including metals, plastics, and paper. Spontaneous combustion risk is significant -- lithium batteries in the waste stream are a growing concern industry-wide.

Two fires in 2 years: $320K yard fire from lithium battery ignition (2024) and $185K baler fire (2023). Neither sprinklered -- open-air yards are essentially unprotectable.

Even at $12.00/thousand ($216K premium), the expected loss exceeds premium. The business model doesn't support the rate we'd need. McGill (Fiona Campbell) understands this is outside our appetite. Decline."
RS_pioneer_manufacturing_2025,"UNDERWRITER COMMENTARY
Pioneer Manufacturing -- 2 facilities in WI. TIV $35M. NTU.

Good risk that we wanted to write. Light manufacturing (injection moulding), non-combustible, sprinklered, 1 claim in 5 years ($40K). Quoted at $4.40/thousand ($154K). Technical was $4.60.

Marsh (Tom Bradley) ran a full marketing exercise and Liberty Mutual came in at $3.80/thousand. That's 17% below our quote and 18% below technical. We offered to sharpen to $4.20 but Liberty's $3.80 was too aggressive a gap to bridge.

Disappointing because this is exactly the risk profile we target. But we can't match pricing that we believe is inadequate. Tom said he'll keep us on the panel for renewal."
RS_precision_electronics_2024,"UNDERWRITER COMMENTARY
Precision Electronics -- 2 assembly and testing facilities in San Jose. TIV $55M. Clean room environments with state-of-the-art fire suppression (Novec 1230 clean agent systems). High-value stock -- finished electronic components valued at $15M.

EQ is the key peril here. San Jose is Zone 4 seismic. Building is bolted steel frame on reinforced mat foundation -- engineered for seismic. We've run PML at $18M (250yr return). EQ deductible is 5% of TIV ($2.75M) which is standard for the zone.

One claim: $72K water damage from fire suppression discharge (false alarm, 2022). Loss ratio 8%. Technical rate $4.20/thousand, binding at $4.00 -- slight discount for loss experience. Gallagher account, Kevin O'Brien.

Bind at $220K. Clean risk, well-managed. Stock reporting endorsed quarterly."
RS_rapidfire_logistics_2025,"UNDERWRITER COMMENTARY
Rapidfire Logistics -- 3 large distribution centres near Birmingham and Coventry. TIV GBP 38M (approx $48M). DECLINE.

On paper this looks standard but the survey report raised serious concerns: (1) ESFR sprinkler system at the Coventry DC failed its last flow test and hasn't been remedied, (2) racking heights exceed sprinkler design -- goods stored above 12m in a system designed for 10.5m max, (3) housekeeping noted as poor -- combustible packaging materials accumulating in aisles.

The surveyor flagged all 3 issues in their report dated Jan 2025. We contacted the broker (Howden, Helen Taylor) who confirmed the insured is aware but hasn't committed to remediation timeline.

A distribution centre with a deficient sprinkler system and storage exceeding design parameters is an unacceptable risk. If they rectify all 3 survey findings and provide evidence, we'll re-quote. Until then, decline."
RS_securestore_2025,"UNDERWRITER COMMENTARY
SecureStore -- 12 self-storage facilities across GA, SC, NC. TIV $28M. Non-combustible construction (metal buildings), limited fire load as building operator rather than stock owner. Customer contents are excluded from our policy -- we're insuring structures only.

No claims in 3 years on our book. Self-storage is a favourable occupancy: low complexity, low loss frequency, simple operations. Technical rate $3.60/thousand, binding at $3.40 -- small deviation for programme size and clean experience.

Key consideration: SE US wind exposure, but metal buildings are well-rated for wind (low-profile, no significant contents). Named storm deductible of 2% per location applies.

Bind at $95.2K. Howden account, Helen Taylor. Renews annually with minimal servicing -- ideal for portfolio."
