claim_id,policy_id,promised_line_id,insured_name,loss_date,report_date,close_date,claim_status,loss_type,loss_description,location_state,paid_amount,reserved_amount,total_incurred,deductible_applied,recovery_amount,net_incurred,cause_of_loss,cat_event_flag,cat_event_name,large_loss_flag
CLM-000017,POL-01011,PL-01011,Uptown Retail Partners,2024-12-23,2024-12-26,2025-11-18,Closed,Wind/Hurricane,High winds damaged signage and awnings,TX,1665259,0,1665259,112772,42992,1665259,Wind/Hurricane,True,,True
CLM-000018,POL-01655,PL-01655,Jasper Distribution LLC,2021-05-14,2021-05-18,2022-02-24,Closed,Water Damage,Roof leak during heavy rain,OR,318200,0,318200,54048,4242,318200,Water Damage,False,,True
CLM-000019,POL-01169,PL-01169,Portland Warehousing Inc,2023-11-02,2023-11-09,2024-02-28,Closed,Water Damage,Pipe burst caused interior flooding,MA,121433,0,121433,179644,1662,121433,Water Damage,False,,False
CLM-000020,POL-01350,PL-01350,Platinum Automotive Corp,2021-06-26,2021-07-06,2022-03-20,Closed,Fire,Electrical fire in utility room,CO,526927,0,526927,258115,24186,526927,Fire,False,,True
CLM-000021,POL-01186,PL-01186,Lakewood Healthcare Systems,2021-02-11,2021-02-24,2021-06-07,Closed,Theft/Vandalism,"Forced entry, electronics stolen",CA,53988,0,53988,25000,1722,53988,Theft/Vandalism,False,,False
CLM-000022,POL-01459,PL-01459,Trafalgar Real Estate,2025-09-11,2025-09-22,2026-09-04,Closed,Fire,Cooking fire spread to adjacent area,NJ,779791,0,779791,25000,29469,779791,Fire,False,,True
CLM-000023,POL-01131,PL-01131,Westfield Shopping Centres,2022-07-26,2022-07-29,2023-06-10,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,MA,1009655,0,1009655,193600,11407,1009655,Wind/Hurricane,True,,True
CLM-000024,POL-01194,PL-01194,Bayside Properties LLC,2022-06-16,2022-06-28,2023-02-26,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,WI,606263,0,606263,150377,14849,606263,Wind/Hurricane,True,,True
CLM-000025,POL-01571,PL-01571,Stonebridge Real Estate,2025-08-26,2025-09-06,2025-12-21,Closed,Water Damage,Pipe burst caused interior flooding,WA,295329,0,295329,32298,5695,295329,Water Damage,False,,True
CLM-000026,POL-01533,PL-01533,Zephyr Logistics Holdings,2024-08-16,2024-08-29,2025-02-09,Closed,Hail,Severe hailstorm damaged roofing and skylights,LA,596503,0,596503,134217,20867,596503,Hail,False,,True
CLM-000027,POL-01493,PL-01493,Northstar Distribution Co,2023-11-18,2023-12-01,2024-04-03,Closed,Hail,Hail damage to vehicles in parking structure,WA,456153,0,456153,77441,10666,456153,Hail,False,,True
CLM-000028,POL-01027,PL-01027,Frontier Agricultural Services,2023-09-01,2023-09-04,2024-05-27,Closed,Collapse,Partial wall collapse,IN,659073,0,659073,207078,18578,659073,Collapse,False,,True
CLM-000029,POL-01646,PL-01646,Harbor Point Industries,2024-07-13,2024-07-19,2024-08-16,Closed,Hail,Severe hailstorm damaged roofing and skylights,CA,58955,0,58955,25000,1401,58955,Hail,False,,False
CLM-000030,POL-01338,PL-01338,Silverstone Automotive Group,2022-09-20,2022-09-23,2023-06-16,Closed,Hail,Hail cracked exterior cladding,IN,96116,0,96116,136514,3614,96116,Hail,False,,False
CLM-000031,POL-01443,PL-01443,Highland Hospitality Group,2023-06-10,2023-06-22,2024-01-30,Closed,Equipment Breakdown,Boiler malfunction,IL,221707,0,221707,44756,2799,221707,Equipment Breakdown,False,,False
CLM-000032,POL-01383,PL-01383,Junction City Warehousing,2021-03-24,2021-03-28,2022-01-07,Closed,Hail,Severe hailstorm damaged roofing and skylights,OR,310232,0,310232,29001,6606,310232,Hail,False,,True
CLM-000033,POL-01271,PL-01271,Fitzwilliam Office Trust,2022-09-08,2022-09-18,,Open,Lightning,Lightning strike damaged electrical systems,CT,132210,20315,152525,26529,4970,152525,Lightning,False,,False
CLM-000034,POL-01128,PL-01128,Meridian Healthcare Properties,2025-06-12,2025-06-25,,Open,Theft/Vandalism,"Forced entry, electronics stolen",LA,180599,4897,185496,29259,3125,185496,Theft/Vandalism,False,,False
CLM-000035,POL-01406,PL-01406,Coastal Hospitality Group,2022-09-10,2022-09-15,,Open,Fire,Electrical fire in utility room,LA,70826,18760,89586,64501,836,89586,Fire,False,,False
CLM-000036,POL-01211,PL-01211,Silverstone Automotive Group,2024-02-12,2024-02-26,2024-09-20,Closed,Water Damage,Pipe burst caused interior flooding,MA,278447,0,278447,235654,2218,278447,Water Damage,False,,True
CLM-000037,POL-01105,PL-01105,Olympia Agricultural Co,2023-08-26,2023-09-06,2024-04-04,Closed,Water Damage,Sprinkler malfunction caused water damage,TX,265375,0,265375,34877,3220,265375,Water Damage,False,,True
CLM-000038,POL-01101,PL-01101,Hampshire Tech Parks Ltd,2023-03-30,2023-04-12,2023-10-13,Closed,Water Damage,HVAC condensation leak,AZ,136424,0,136424,250077,4982,136424,Water Damage,False,,False
CLM-000039,POL-01433,PL-01433,Imperial Tech Solutions,2024-10-03,2024-10-15,2025-08-29,Closed,Hail,Severe hailstorm damaged roofing and skylights,MO,339104,0,339104,162741,15015,339104,Hail,False,,True
CLM-000040,POL-01177,PL-01177,Uptown Retail Partners,2025-08-13,2025-08-14,2026-07-21,Closed,Equipment Breakdown,Boiler malfunction,WA,185035,0,185035,131987,5972,185035,Equipment Breakdown,False,,False
CLM-000041,POL-01139,PL-01139,Hampshire Tech Parks Ltd,2021-07-10,2021-07-16,2022-02-21,Closed,Water Damage,Roof leak during heavy rain,CT,40486,0,40486,57573,305,40486,Water Damage,False,,False
CLM-000042,POL-01309,PL-01309,Inverness Energy Group,2023-05-14,2023-05-17,,Open,Water Damage,Roof leak during heavy rain,MO,312446,89845,402291,60006,10659,402291,Water Damage,False,,True
CLM-000043,POL-01108,PL-01108,Riverside Agricultural Coop,2021-07-27,2021-08-07,2022-03-21,Closed,Water Damage,Pipe burst caused interior flooding,NJ,53924,0,53924,154683,860,53924,Water Damage,False,,False
CLM-000044,POL-01568,PL-01568,Coastal Hospitality Group,2024-10-04,2024-10-11,,Open,Water Damage,Sprinkler malfunction caused water damage,TN,265204,52018,317222,47347,722,317222,Water Damage,False,,True
CLM-000045,POL-01433,PL-01433,Imperial Tech Solutions,2025-07-02,2025-07-10,2026-04-15,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,MO,1580422,0,1580422,162741,37420,1580422,Wind/Hurricane,True,,True
CLM-000046,POL-01337,PL-01337,Riverside Agricultural Coop,2023-05-19,2023-05-28,,Open,Flood,Storm surge caused basement flooding,SC,1460478,78357,1538835,31154,5842,1538835,Flood,True,,True
CLM-000047,POL-01004,PL-01004,Western Distribution,2022-02-09,2022-02-18,2023-01-19,Closed,Wind/Hurricane,High winds damaged signage and awnings,CO,2252556,0,2252556,65000,48980,2252556,Wind/Hurricane,True,,True
CLM-000048,POL-01462,PL-01462,Atlas Commercial Properties,2023-01-22,2023-01-23,2023-12-24,Closed,Wind/Hurricane,High winds damaged signage and awnings,WI,432275,0,432275,330054,5453,432275,Wind/Hurricane,True,,True
CLM-000049,POL-01338,PL-01338,Silverstone Automotive Group,2022-08-24,2022-08-30,,Open,Theft/Vandalism,Vandalism to exterior and lobby,IN,176035,14112,190147,136514,3932,190147,Theft/Vandalism,False,,False
CLM-000050,POL-01298,PL-01298,Timber Creek Manufacturing,2021-03-16,2021-03-25,2021-11-03,Closed,Hail,Severe hailstorm damaged roofing and skylights,MN,373636,0,373636,26864,1570,373636,Hail,False,,True
CLM-000051,POL-01099,PL-01099,Essex Food Manufacturing,2022-07-17,2022-07-23,2023-04-07,Closed,Fire,Cooking fire spread to adjacent area,VA,211751,0,211751,25000,8686,211751,Fire,False,,False
CLM-000052,POL-01563,PL-01563,Falcon Energy Partners,2021-10-28,2021-11-07,2022-10-19,Closed,Water Damage,Pipe burst caused interior flooding,MN,51787,0,51787,47039,1327,51787,Water Damage,False,,False
CLM-000053,POL-01712,PL-01712,Eclipse Energy Holdings,2023-05-16,2023-05-23,2023-06-26,Closed,Fire,Cooking fire spread to adjacent area,TN,978891,0,978891,25000,12571,978891,Fire,False,,True
CLM-000054,POL-01639,PL-01639,Vanguard Logistics Corp,2021-08-27,2021-09-09,2022-01-02,Closed,Equipment Breakdown,Generator failure during power outage,PA,63298,0,63298,46124,1948,63298,Equipment Breakdown,False,,False
CLM-000055,POL-01535,PL-01535,Inverness Energy Group,2023-02-06,2023-02-16,2023-11-05,Closed,Flood,Flash flooding entered ground floor,TN,441253,0,441253,25000,20639,441253,Flood,True,,True
CLM-000056,POL-01275,PL-01275,Falcon Energy Partners,2024-10-07,2024-10-08,2025-09-11,Closed,Equipment Breakdown,Boiler malfunction,MN,356889,0,356889,488165,12102,356889,Equipment Breakdown,False,,True
CLM-000057,POL-01273,PL-01273,Exeter Healthcare Properties,2024-09-07,2024-09-10,2025-02-24,Closed,Fire,Overheated machinery ignited nearby materials,GA,272993,0,272993,316404,8177,272993,Fire,False,,True
CLM-000058,POL-01626,PL-01626,Albion Commercial Group,2021-05-11,2021-05-21,,Open,Wind/Hurricane,Tropical storm caused debris impact damage,WA,655765,63860,719625,221372,23346,719625,Wind/Hurricane,True,,True
CLM-000059,POL-01459,PL-01459,Trafalgar Real Estate,2023-03-08,2023-03-16,2024-01-17,Closed,Hail,Severe hailstorm damaged roofing and skylights,NJ,395472,0,395472,25000,6734,395472,Hail,False,,True
CLM-000060,POL-01347,PL-01347,Hampshire Tech Parks Ltd,2023-10-19,2023-10-23,2024-08-16,Closed,Equipment Breakdown,Elevator motor failure,PA,93747,0,93747,25000,1828,93747,Equipment Breakdown,False,,False
CLM-000061,POL-01412,PL-01412,Omega Tech Campus LLC,2024-07-17,2024-07-25,2025-05-30,Closed,Fire,Overheated machinery ignited nearby materials,IN,905245,0,905245,38433,9394,905245,Fire,False,,True
CLM-000062,POL-01526,PL-01526,Canterbury Hotels PLC,2024-10-13,2024-10-21,2024-11-27,Closed,Water Damage,Roof leak during heavy rain,WA,127138,0,127138,25000,3718,127138,Water Damage,False,,False
CLM-000063,POL-01617,PL-01617,Canterbury Hotels PLC,2021-02-17,2021-03-02,2021-08-11,Closed,Water Damage,Sprinkler malfunction caused water damage,SC,176035,0,176035,326079,3303,176035,Water Damage,False,,False
CLM-000064,POL-01533,PL-01533,Zephyr Logistics Holdings,2021-07-18,2021-07-25,2021-12-06,Closed,Fire,Cooking fire spread to adjacent area,LA,664979,0,664979,134217,18976,664979,Fire,False,,True
CLM-000065,POL-01177,PL-01177,Uptown Retail Partners,2023-04-02,2023-04-11,2023-11-27,Closed,Flood,Storm surge caused basement flooding,WA,1173624,0,1173624,131987,12777,1173624,Flood,True,,True
CLM-000066,POL-01583,PL-01583,Silverstone Automotive Group,2024-09-22,2024-10-03,2025-09-11,Closed,Wind/Hurricane,High winds damaged signage and awnings,WA,1885919,0,1885919,39812,47365,1885919,Wind/Hurricane,True,,True
CLM-000067,POL-01527,PL-01527,Kensington Real Estate Trust,2023-08-09,2023-08-14,2024-04-25,Closed,Water Damage,Roof leak during heavy rain,CA,325669,0,325669,64712,6514,325669,Water Damage,False,,True
CLM-000068,POL-01001,PL-01001,Acme Industrial Holdings,2021-12-19,2021-12-30,2022-03-09,Closed,Water Damage,Sprinkler malfunction caused water damage,OH,141919,0,141919,45000,4634,141919,Water Damage,False,,False
CLM-000069,POL-01429,PL-01429,Keystone Office Holdings,2021-10-11,2021-10-21,2022-09-23,Closed,Water Damage,Pipe burst caused interior flooding,MN,247745,0,247745,25000,7067,247745,Water Damage,False,,False
CLM-000070,POL-01417,PL-01417,Meridian Healthcare Properties,2024-03-11,2024-03-22,2024-12-07,Closed,Lightning,Lightning strike damaged electrical systems,MI,111005,0,111005,200058,126,111005,Lightning,False,,False
CLM-000071,POL-01584,PL-01584,Norfolk Agricultural Holdings,2025-11-04,2025-11-08,2026-02-24,Closed,Earthquake,Foundation damage from earthquake,MI,2031524,0,2031524,383953,73445,2031524,Earthquake,True,,True
CLM-000072,POL-01242,PL-01242,Oxford Science Properties,2022-10-23,2022-10-26,2023-04-21,Closed,Fire,Electrical fire in utility room,FL,988398,0,988398,25000,10230,988398,Fire,False,,True
CLM-000073,POL-01461,PL-01461,United Pharma Holdings,2022-05-11,2022-05-24,2022-09-08,Closed,Water Damage,Sprinkler malfunction caused water damage,TX,264284,0,264284,114969,8475,264284,Water Damage,False,,True
CLM-000074,POL-01592,PL-01592,Xenon Technology Inc,2022-05-17,2022-05-25,2022-07-21,Closed,Flood,Flash flooding entered ground floor,CO,1320919,0,1320919,121528,2134,1320919,Flood,True,,True
CLM-000075,POL-01664,PL-01664,Yorkshire Building Materials,2023-03-01,2023-03-03,2023-10-30,Closed,Water Damage,HVAC condensation leak,MI,206918,0,206918,109649,5559,206918,Water Damage,False,,False
CLM-000076,POL-01706,PL-01706,Eastwood Retail Holdings,2021-02-18,2021-02-26,2021-11-21,Closed,Equipment Breakdown,Compressor failure in HVAC system,OR,301777,0,301777,397169,12247,301777,Equipment Breakdown,False,,True
CLM-000077,POL-01712,PL-01712,Eclipse Energy Holdings,2023-11-14,2023-11-25,2024-11-10,Closed,Equipment Breakdown,Boiler malfunction,TN,182616,0,182616,25000,7189,182616,Equipment Breakdown,False,,False
CLM-000078,POL-01107,PL-01107,Portland Warehousing Inc,2025-03-24,2025-04-06,2025-06-19,Closed,Fire,Cooking fire spread to adjacent area,TX,327249,0,327249,101720,6755,327249,Fire,False,,True
CLM-000079,POL-01339,PL-01339,Junction City Warehousing,2022-06-26,2022-06-28,2023-01-10,Closed,Fire,Electrical fire in utility room,OH,308207,0,308207,25000,13856,308207,Fire,False,,True
CLM-000080,POL-01484,PL-01484,Meridian Healthcare Properties,2024-11-12,2024-11-20,2025-05-30,Closed,Equipment Breakdown,Boiler malfunction,WI,347931,0,347931,143013,4486,347931,Equipment Breakdown,False,,True
CLM-000081,POL-01275,PL-01275,Falcon Energy Partners,2022-03-29,2022-04-04,,Open,Hail,Hail cracked exterior cladding,MN,466340,40351,506691,488165,16643,506691,Hail,False,,True
CLM-000082,POL-01306,PL-01306,Vista Energy Storage LLC,2023-09-01,2023-09-13,2024-05-13,Closed,Lightning,Lightning caused transformer failure,FL,64324,0,64324,25000,2391,64324,Lightning,False,,False
CLM-000083,POL-01680,PL-01680,Kingsway Distribution Ltd,2022-06-11,2022-06-22,2022-11-04,Closed,Fire,Electrical fire in utility room,CO,665300,0,665300,25000,19401,665300,Fire,False,,True
CLM-000084,POL-01147,PL-01147,Highland Hospitality Group,2025-03-07,2025-03-21,2025-12-26,Closed,Hail,Hail damage to vehicles in parking structure,CT,185275,0,185275,154222,5729,185275,Hail,False,,False
CLM-000085,POL-01167,PL-01167,Norfolk Agricultural Holdings,2023-10-24,2023-10-30,2024-08-16,Closed,Smoke Damage,Internal smoke damage from electrical short,NC,160222,0,160222,304513,6932,160222,Smoke Damage,False,,False
CLM-000086,POL-01480,PL-01480,Newport Industrial Corp,2023-09-19,2023-09-26,2023-10-26,Closed,Hail,Hail cracked exterior cladding,TX,527638,0,527638,119439,9032,527638,Hail,False,,True
CLM-000087,POL-01307,PL-01307,Fitzwilliam Office Trust,2025-02-01,2025-02-14,2025-05-03,Closed,Wind/Hurricane,High winds damaged signage and awnings,FL,496198,0,496198,55867,8844,496198,Wind/Hurricane,True,,True
CLM-000088,POL-01459,PL-01459,Trafalgar Real Estate,2025-08-05,2025-08-18,,Open,Hail,Hail cracked exterior cladding,NJ,397636,89021,486657,25000,14739,486657,Hail,False,,True
CLM-000089,POL-01366,PL-01366,Jasper Distribution LLC,2021-05-18,2021-05-23,,Open,Theft/Vandalism,Copper wire theft from HVAC units,MO,98683,9755,108438,39286,4177,108438,Theft/Vandalism,False,,False
CLM-000090,POL-01533,PL-01533,Zephyr Logistics Holdings,2022-05-23,2022-05-27,,Open,Flood,Storm surge caused basement flooding,LA,1458612,247979,1706591,134217,53927,1706591,Flood,True,,True
CLM-000091,POL-01675,PL-01675,Devonshire Properties Ltd,2025-01-09,2025-01-17,2025-05-09,Closed,Lightning,Lightning strike damaged electrical systems,MI,260106,0,260106,146417,3456,260106,Lightning,False,,True
CLM-000092,POL-01280,PL-01280,Xenon Technology Inc,2021-05-11,2021-05-14,2022-03-04,Closed,Fire,Overheated machinery ignited nearby materials,CT,256213,0,256213,107819,2661,256213,Fire,False,,True
CLM-000093,POL-01245,PL-01245,Mayfair Hospitality Ltd,2024-01-05,2024-01-18,2024-03-01,Closed,Hail,Hail damage to vehicles in parking structure,AL,365511,0,365511,146881,11584,365511,Hail,False,,True
CLM-000094,POL-01205,PL-01205,Grosvenor Retail Holdings,2021-07-24,2021-08-02,2022-06-20,Closed,Water Damage,Roof leak during heavy rain,TX,179664,0,179664,69816,4376,179664,Water Damage,False,,False
CLM-000095,POL-01563,PL-01563,Falcon Energy Partners,2025-01-14,2025-01-22,2026-01-08,Closed,Fire,Cooking fire spread to adjacent area,MN,491160,0,491160,47039,19787,491160,Fire,False,,True
CLM-000096,POL-01606,PL-01606,Liberty Food Services Inc,2023-04-14,2023-04-24,2023-09-29,Closed,Equipment Breakdown,Boiler malfunction,NC,446739,0,446739,100419,3943,446739,Equipment Breakdown,False,,True
CLM-000097,POL-01501,PL-01501,Essex Food Manufacturing,2022-06-26,2022-07-10,2023-04-24,Closed,Water Damage,Roof leak during heavy rain,TN,124314,0,124314,181990,1711,124314,Water Damage,False,,False
CLM-000098,POL-01558,PL-01558,Ridgeway Office Parks,2022-01-09,2022-01-17,,Open,Water Damage,Pipe burst caused interior flooding,NY,244072,55400,299472,57786,10902,299472,Water Damage,False,,True
CLM-000099,POL-01502,PL-01502,Richmond Data Centres LLC,2022-09-16,2022-09-18,,Open,Water Damage,Sprinkler malfunction caused water damage,IN,82095,10639,92734,169849,2618,92734,Water Damage,False,,False
CLM-000100,POL-01533,PL-01533,Zephyr Logistics Holdings,2022-09-22,2022-10-01,,Open,Equipment Breakdown,Generator failure during power outage,LA,111310,7740,119050,134217,4265,119050,Equipment Breakdown,False,,False
CLM-000101,POL-01466,PL-01466,Keystone Office Holdings,2024-03-15,2024-03-26,2024-07-02,Closed,Fire,Overheated machinery ignited nearby materials,AZ,364060,0,364060,63448,3493,364060,Fire,False,,True
CLM-000102,POL-01406,PL-01406,Coastal Hospitality Group,2021-11-18,2021-11-24,2022-09-08,Closed,Equipment Breakdown,Boiler malfunction,LA,387990,0,387990,64501,11547,387990,Equipment Breakdown,False,,True
CLM-000103,POL-01428,PL-01428,Xenon Technology Inc,2023-08-25,2023-09-08,2024-02-26,Closed,Equipment Breakdown,Generator failure during power outage,WA,143140,0,143140,33273,2191,143140,Equipment Breakdown,False,,False
CLM-000104,POL-01714,PL-01714,Richmond Data Centres LLC,2023-05-22,2023-06-01,2024-01-08,Closed,Water Damage,Sprinkler malfunction caused water damage,MI,285824,0,285824,25000,10893,285824,Water Damage,False,,True
CLM-000105,POL-01412,PL-01412,Omega Tech Campus LLC,2021-10-14,2021-10-22,2022-04-02,Closed,Fire,Electrical fire in utility room,IN,470612,0,470612,38433,4758,470612,Fire,False,,True
CLM-000106,POL-01647,PL-01647,Quantum Data Systems LLC,2022-10-22,2022-10-29,2023-06-04,Closed,Theft/Vandalism,Vandalism to exterior and lobby,SC,76907,0,76907,372221,2153,76907,Theft/Vandalism,False,,False
CLM-000107,POL-01209,PL-01209,Zephyr Logistics Holdings,2022-07-16,2022-07-18,2022-09-22,Closed,Equipment Breakdown,Elevator motor failure,MI,289373,0,289373,76902,4709,289373,Equipment Breakdown,False,,True
CLM-000108,POL-01474,PL-01474,Albion Commercial Group,2021-04-05,2021-04-18,2021-11-20,Closed,Lightning,Lightning caused transformer failure,SC,186023,0,186023,111105,2605,186023,Lightning,False,,False
CLM-000109,POL-01594,PL-01594,Zenith Food Processing Corp,2024-01-07,2024-01-13,,Open,Hail,Hail damage to vehicles in parking structure,IL,73217,7527,80744,96977,406,80744,Hail,False,,False
CLM-000110,POL-01133,PL-01133,Silverstone Automotive Group,2025-02-09,2025-02-16,2025-05-27,Closed,Earthquake,Structural cracking from seismic event,CA,407168,0,407168,36267,6084,407168,Earthquake,True,,True
CLM-000111,POL-01209,PL-01209,Zephyr Logistics Holdings,2024-01-25,2024-02-07,2024-07-06,Closed,Hail,Hail cracked exterior cladding,MI,285426,0,285426,76902,11664,285426,Hail,False,,True
CLM-000112,POL-01675,PL-01675,Devonshire Properties Ltd,2024-12-27,2025-01-08,,Open,Fire,Overheated machinery ignited nearby materials,MI,826658,194901,1021559,146417,37410,1021559,Fire,False,,True
CLM-000113,POL-01449,PL-01449,Eastwood Retail Holdings,2022-04-12,2022-04-20,2022-11-13,Closed,Equipment Breakdown,Generator failure during power outage,WA,120221,0,120221,32481,4073,120221,Equipment Breakdown,False,,False
CLM-000114,POL-01699,PL-01699,Fitzwilliam Office Trust,2021-10-15,2021-10-17,2022-10-08,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,TX,1512101,0,1512101,25000,29962,1512101,Wind/Hurricane,True,,True
CLM-000115,POL-01481,PL-01481,Metro Commercial Partners,2023-02-04,2023-02-05,,Open,Equipment Breakdown,Boiler malfunction,NY,379303,112612,491915,202396,18202,491915,Equipment Breakdown,False,,True
CLM-000116,POL-01322,PL-01322,Uptown Retail Partners,2024-07-23,2024-07-25,2024-09-29,Closed,Equipment Breakdown,Compressor failure in HVAC system,AZ,236643,0,236643,25000,9236,236643,Equipment Breakdown,False,,False
CLM-000117,POL-01527,PL-01527,Kensington Real Estate Trust,2024-03-21,2024-03-29,2025-02-26,Closed,Fire,Cooking fire spread to adjacent area,CA,573230,0,573230,64712,2094,573230,Fire,False,,True
CLM-000118,POL-01669,PL-01669,Brunswick Industrial Corp,2025-12-09,2025-12-21,2026-03-26,Closed,Water Damage,HVAC condensation leak,CT,121902,0,121902,186397,1107,121902,Water Damage,False,,False
CLM-000119,POL-01568,PL-01568,Coastal Hospitality Group,2025-08-07,2025-08-14,2025-09-16,Closed,Wind/Hurricane,Tropical storm caused debris impact damage,TN,1342079,0,1342079,47347,19716,1342079,Wind/Hurricane,True,,True
CLM-000120,POL-01617,PL-01617,Canterbury Hotels PLC,2023-05-25,2023-05-28,2023-11-03,Closed,Equipment Breakdown,Elevator motor failure,SC,37926,0,37926,326079,1279,37926,Equipment Breakdown,False,,False
CLM-000121,POL-01322,PL-01322,Uptown Retail Partners,2025-08-10,2025-08-20,2026-03-09,Closed,Water Damage,Roof leak during heavy rain,AZ,253764,0,253764,25000,9807,253764,Water Damage,False,,True
CLM-000122,POL-01212,PL-01212,Uptown Retail Partners,2025-09-26,2025-09-27,2025-12-30,Closed,Wind/Hurricane,High winds damaged signage and awnings,VA,386008,0,386008,65828,18425,386008,Wind/Hurricane,True,,True
CLM-000123,POL-01322,PL-01322,Uptown Retail Partners,2022-02-18,2022-02-23,2022-06-11,Closed,Flood,Storm surge caused basement flooding,AZ,1399851,0,1399851,25000,16306,1399851,Flood,True,,True
CLM-000124,POL-01220,PL-01220,Exeter Healthcare Properties,2023-06-20,2023-06-22,2024-01-28,Closed,Equipment Breakdown,Compressor failure in HVAC system,TX,41464,0,41464,189655,1798,41464,Equipment Breakdown,False,,False
CLM-000125,POL-01727,PL-01727,Eastwood Retail Holdings,2022-02-11,2022-02-15,2022-09-23,Closed,Wind/Hurricane,High winds damaged signage and awnings,WA,270240,0,270240,320068,1254,270240,Wind/Hurricane,True,,True
